date,pop_size,A_cubfem,E_cubfem,F_cubfem,L_cubfem,M_cubfem,N_cubfem,S_cubfem,T_cubfem,A_adultfem,E_adultfem,F_adultfem,L_adultfem,M_adultfem,N_adultfem,S_adultfem,T_adultfem,A_cubmale,E_cubmale,F_cubmale,L_cubmale,M_cubmale,N_cubmale,S_cubmale,T_cubmale,A_philomale,E_philomale,F_philomale,L_philomale,M_philomale,N_philomale,S_philomale,T_philomale,A_dispmale,E_dispmale,F_dispmale,L_dispmale,M_dispmale,N_dispmale,S_dispmale,T_dispmale,A_cubfem_dead,E_cubfem_dead,F_cubfem_dead,L_cubfem_dead,M_cubfem_dead,N_cubfem_dead,S_cubfem_dead,T_cubfem_dead,A_adultfem_dead,E_adultfem_dead,F_adultfem_dead,L_adultfem_dead,M_adultfem_dead,N_adultfem_dead,S_adultfem_dead,T_adultfem_dead,A_cubmale_dead,E_cubmale_dead,F_cubmale_dead,L_cubmale_dead,M_cubmale_dead,N_cubmale_dead,S_cubmale_dead,T_cubmale_dead,A_philomale_dead,E_philomale_dead,F_philomale_dead,L_philomale_dead,M_philomale_dead,N_philomale_dead,S_philomale_dead,T_philomale_dead,A_dispmale_dead,E_dispmale_dead,F_dispmale_dead,L_dispmale_dead,M_dispmale_dead,N_dispmale_dead,S_dispmale_dead,T_dispmale_dead,A_mothers,E_mothers,F_mothers,L_mothers,M_mothers,N_mothers,S_mothers,T_mothers,A_fathers,E_fathers,F_fathers,L_fathers,M_fathers,N_fathers,S_fathers,T_fathers
1996-04-12,178,4,4,3,4,8,1,0,2,13,4,5,12,15,6,5,5,11,3,1,5,8,6,0,2,13,2,4,8,14,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-05-12,194,7,4,3,2,8,0,1,2,13,4,5,14,16,7,5,5,12,3,1,5,7,7,6,2,11,2,4,6,7,1,1,2,8,0,0,5,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,4,0,3,0,0,0,1,1,1,0
1996-06-12,191,7,4,3,2,7,0,1,2,14,4,4,14,16,6,5,5,12,3,1,5,7,5,6,2,11,2,4,5,7,1,1,2,8,0,0,6,2,3,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1996-07-12,195,8,4,3,1,8,0,1,2,14,4,4,15,16,6,5,5,13,3,1,4,8,5,6,3,11,2,4,5,7,1,1,2,8,0,0,6,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
1996-08-12,196,8,4,3,1,8,0,1,2,14,4,4,15,16,6,5,5,12,3,1,4,8,5,6,3,12,2,4,5,7,1,1,2,8,0,0,6,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1996-09-12,200,8,4,3,1,9,2,1,2,14,4,4,15,15,6,5,5,12,3,1,4,10,5,6,3,12,2,4,5,7,1,1,2,7,0,0,6,2,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0
1996-10-12,206,5,4,4,1,10,2,1,2,17,4,4,15,15,6,5,5,11,4,1,5,11,5,6,3,12,2,4,5,7,1,1,2,8,1,0,6,2,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,1,1,1,1,0,0,0
1996-11-12,209,5,4,4,2,10,4,1,2,17,4,4,15,15,6,5,5,11,4,1,6,11,5,6,2,11,2,4,5,7,1,1,2,8,1,0,7,2,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0
1996-12-12,215,6,4,4,4,10,4,3,2,17,4,4,15,14,6,5,5,11,4,1,5,14,4,7,2,11,2,3,5,7,1,1,2,8,1,0,7,3,3,1,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,1,1,0,0,1,2,0,1,1
1997-01-12,215,6,4,4,4,10,4,3,1,17,4,4,15,13,6,5,6,11,4,1,5,15,4,7,2,11,2,3,5,7,1,1,2,8,1,0,7,3,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1997-02-12,222,6,4,3,4,11,4,3,1,17,4,5,15,12,6,5,6,12,4,1,6,17,6,7,2,11,2,3,5,7,1,1,2,8,1,0,7,4,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,1,0,1,1,1,1,0,0
1997-03-12,227,9,3,3,4,12,4,3,1,17,5,5,15,13,6,5,6,12,4,1,6,15,6,7,1,11,2,3,5,7,1,1,2,8,2,0,8,5,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0
1997-04-12,225,9,3,3,4,11,4,3,1,16,5,4,15,12,6,5,6,12,4,1,6,15,6,9,1,11,2,3,5,7,1,1,2,8,2,0,8,5,3,1,5,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1997-05-12,236,11,3,4,4,12,4,3,2,16,5,4,15,12,6,5,6,14,4,2,7,16,6,9,2,11,2,3,5,7,1,1,2,8,2,0,8,5,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,0,1,3,0,1,1,1,0,0,1
1997-06-12,236,11,3,4,4,12,6,3,2,16,5,4,15,11,6,5,5,14,4,2,7,16,6,9,2,11,2,3,5,7,1,1,2,8,3,0,8,4,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1997-07-12,242,12,2,4,3,13,6,4,2,16,6,4,16,11,6,5,5,15,3,2,7,17,6,10,2,11,3,3,5,7,1,1,2,8,3,0,8,4,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0
1997-08-12,244,12,2,3,5,13,6,5,2,16,6,4,16,11,6,5,5,16,3,2,6,17,4,10,2,11,3,3,6,7,1,1,2,8,3,0,8,5,3,1,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0
1997-09-12,242,12,2,3,5,13,6,5,2,16,6,4,16,10,6,5,5,16,3,2,4,16,3,10,2,11,3,3,6,7,1,1,2,8,4,1,9,5,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-10-12,247,11,3,3,6,13,6,5,2,16,6,3,16,11,6,5,5,15,5,2,5,15,3,11,2,12,3,3,6,7,1,1,2,8,4,1,10,5,3,1,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,1,0,1,2,0,1,1,0,1,0
1997-11-12,248,11,2,3,7,12,6,5,2,16,7,3,16,12,6,5,5,16,5,2,6,14,3,10,2,12,3,3,6,7,1,1,1,9,4,1,10,5,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0
1997-12-12,249,11,2,3,7,12,5,5,2,16,7,3,16,13,6,5,5,16,5,2,6,14,4,12,2,11,2,3,5,7,1,1,1,9,4,1,10,7,3,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0
1998-01-12,251,11,2,3,7,12,5,6,2,16,7,3,15,13,6,5,5,14,5,2,6,12,4,13,3,11,2,3,5,6,1,1,1,9,5,1,11,7,6,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1
1998-02-12,254,11,1,3,8,12,5,6,3,16,8,3,15,13,6,5,4,15,5,2,6,13,4,12,4,11,2,3,4,6,1,1,1,9,5,1,12,7,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
1998-03-12,259,11,1,2,8,13,6,6,3,15,8,4,15,13,6,5,4,16,5,2,7,14,5,12,5,11,2,3,4,6,1,1,1,9,4,1,12,7,6,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,0,1,1,0,0,1,2,1,0,1
1998-04-12,262,10,1,4,9,14,6,6,3,15,8,4,15,13,6,5,4,17,5,3,7,12,5,12,5,10,2,3,4,6,1,1,1,9,5,1,12,7,6,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,1,0,1,1,1,0,0,0
1998-05-12,261,7,1,4,9,13,7,5,3,17,8,4,15,13,6,6,4,15,5,3,7,12,4,7,5,9,2,2,4,6,1,1,1,10,7,1,13,11,7,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1998-06-12,261,6,2,4,9,13,7,6,3,17,8,4,15,13,6,6,3,14,5,3,7,12,4,8,5,9,2,2,3,6,1,1,1,10,7,2,14,10,7,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,1,0,0,0,0,1,0
1998-07-12,266,6,2,4,9,13,8,8,3,16,8,4,15,14,6,6,3,13,6,3,7,11,5,8,4,10,2,2,3,7,1,1,1,11,7,2,14,10,7,2,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,1,0,1,2,1,1,0
1998-08-12,271,5,2,4,10,15,8,8,3,16,8,4,15,14,6,6,3,13,5,3,8,13,5,8,4,10,2,2,3,7,1,1,1,11,7,2,14,11,7,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0
1998-09-12,271,5,2,4,10,14,6,8,3,16,8,4,14,14,8,6,3,14,5,3,8,11,6,8,4,10,2,2,3,7,1,1,1,11,7,2,15,11,7,2,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1998-10-12,270,5,2,3,10,13,6,8,3,16,8,5,14,15,8,6,3,14,3,3,7,11,6,8,4,9,3,2,3,7,1,1,1,11,6,2,17,10,7,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1998-11-12,271,5,3,3,9,13,3,10,3,16,8,5,15,15,10,6,3,14,6,3,6,9,6,7,4,9,3,2,2,7,1,1,1,11,6,2,17,10,7,3,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,2,1,0,0,0,1,0
1998-12-12,275,6,3,2,7,13,4,8,2,16,8,5,17,15,10,8,4,14,6,3,5,10,8,8,3,9,3,2,2,7,1,2,1,11,6,2,17,10,7,3,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,1,0,0,0,1,1,1,0
1999-01-12,277,6,3,2,7,13,4,8,2,16,8,3,17,15,10,8,4,13,6,5,5,10,8,10,3,9,3,2,2,8,1,2,1,11,6,2,17,10,7,3,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0
1999-02-12,283,10,4,2,7,13,4,7,2,15,8,3,17,15,10,8,4,14,6,5,5,12,6,10,3,9,3,2,2,8,1,2,1,11,6,2,17,11,7,4,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,1,1,0,0,0,3,1,0,1,1,0,0,0
1999-03-12,285,8,5,3,7,12,4,8,2,17,8,3,17,16,10,8,4,13,6,5,5,13,6,10,3,9,3,2,2,8,1,2,1,11,5,2,17,11,7,4,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
1999-04-12,286,8,5,3,7,14,4,8,3,17,8,3,17,16,10,8,4,13,6,5,5,11,8,9,3,8,3,2,2,8,1,2,1,11,5,3,17,11,7,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1
1999-05-12,289,6,6,2,7,14,4,8,3,19,8,4,17,16,10,8,5,12,6,4,4,11,8,9,2,8,3,2,2,9,1,2,1,12,6,3,17,11,8,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1
1999-06-12,295,7,6,2,8,14,4,9,3,19,8,4,16,15,10,8,5,14,6,4,6,13,8,8,2,8,3,2,2,9,1,2,1,12,6,3,17,11,8,5,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,1,0,1,0,0,1,2,0,1,0
1999-07-12,301,8,6,2,8,13,4,8,3,20,7,4,16,16,10,9,5,15,5,4,7,14,9,7,2,8,3,2,2,9,1,2,1,12,6,3,18,13,8,5,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,2,0,0,1,1,1,0,0
