"ID","sex","birthclan","birthdate","mothergenetic","mothersocial","father","litterdominance","DNA","litterdominancegenetic","name2","deathconfirmed","deathcause","comments","date_lastsighting"
"A-001",2,"A",1988-05-21,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1997-05-12
"A-002",2,"A",1992-10-21,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2004-11-12
"A-003",2,"A",1989-05-21,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2005-02-12
"A-004",2,"A",1988-07-13,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2004-06-12
"A-006",2,"A",1991-07-17,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1996-12-12
"A-007",2,"A",1988-07-14,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1997-03-12
"A-008",2,"A",1994-05-21,"A-015","A-015","A-045",1,0,NA,NA,NA,NA,NA,1997-02-12
"A-009",2,"A",1994-01-16,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2004-02-12
"A-010",2,"A",1994-09-21,"A-001","A-001","A-045",1,0,NA,NA,NA,NA,NA,1999-08-12
"A-011",1,"A",1992-04-14,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1999-02-12
"A-013",2,"A",1991-12-07,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2007-05-12
"A-014",2,"A",1983-09-25,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2000-06-12
"A-015",2,"A",1990-07-17,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1998-07-12
"A-016",2,"A",1991-06-18,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2001-05-12
"A-017",2,"A",1985-04-10,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2001-06-12
"A-018",2,"A",1994-09-21,"A-001","A-001","A-045",2,0,NA,NA,NA,NA,NA,2007-08-12
"A-019",2,"A",1994-09-17,"A-016","A-016",NA,1,0,NA,NA,NA,NA,NA,2003-05-12
"A-020",2,"A",1991-08-03,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2004-01-12
"A-040",1,"A",1994-04-13,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1996-04-12
"A-041",1,"A",1994-07-14,"A-013","A-013",NA,1,0,NA,NA,NA,NA,NA,2010-12-12
"A-042",1,"A",1991-07-13,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2002-07-12
"A-043",1,"A",1993-05-21,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1997-05-12
"A-044",1,"A",1984-05-21,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1998-11-12
"A-045",1,"A",1988-07-13,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2004-03-12
"A-046",1,"A",1994-09-21,"A-001","A-001",NA,3,0,NA,NA,NA,NA,NA,1999-02-12
"A-047",1,"A",1989-04-26,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2001-09-12
"A-048",1,"A",1993-07-13,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2000-05-12
"A-049",1,"A",1994-04-14,"A-003","A-003",NA,1,0,NA,NA,NA,NA,NA,2005-07-12
"A-050",1,"A",1993-09-07,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2004-12-12
"A-051",1,"A",1993-03-10,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2003-10-12
"A-052",1,"A",1993-08-07,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1998-08-12
"A-053",1,"A",1993-08-01,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2005-10-12
"A-054",1,"A",1995-12-23,NA,NA,"A-011",NA,0,NA,NA,NA,NA,NA,2005-02-12
"A-056",1,"A",1994-06-06,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2007-08-12
"A-057",1,"A",1994-04-07,"A-020","A-020",NA,1,0,NA,NA,NA,NA,NA,2001-06-12
"A-082",1,"A",1995-11-13,"A-007","A-007",NA,1,0,NA,NA,NA,NA,NA,1997-04-12
"A-083",1,"A",1996-02-08,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2000-01-12
"A-084",1,"A",1995-10-08,"A-001","A-001",NA,1,0,NA,NA,NA,NA,NA,2002-09-12
"A-085",1,"A",1995-10-20,"A-003","A-003",NA,1,0,NA,NA,NA,NA,NA,2004-06-12
"A-113",1,"A",1995-12-25,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2004-12-12
"A-114",2,"A",1996-05-12,"A-014","A-014","A-044",1,0,NA,NA,NA,NA,NA,1998-02-12
"A-115",2,"A",1996-05-12,"A-014","A-014","A-044",2,0,NA,NA,NA,NA,NA,1997-04-12
"A-116",2,"A",1996-05-12,"A-013","A-013","M-053",1,0,NA,NA,NA,NA,NA,2005-11-12
"A-117",2,"A",1996-05-12,"A-013","A-013","M-053",2,0,NA,NA,NA,NA,NA,1998-05-12
"A-118",1,"A",1996-05-12,"A-007","A-007","A-047",1,0,NA,NA,NA,NA,NA,1997-03-12
"A-119",1,"A",1996-06-12,"A-017","A-017","A-047",1,0,NA,NA,NA,NA,NA,1997-04-12
"A-120",1,"A",1996-06-12,"A-020","A-020","M-053",1,0,NA,NA,NA,NA,NA,1997-03-12
"A-121",2,"A",1996-06-12,"A-020","A-020","M-053",2,0,NA,NA,NA,NA,NA,2004-05-12
"A-122",2,"A",1996-07-12,"A-006","A-006","M-053",1,0,NA,NA,NA,NA,NA,2004-09-12
"A-123",1,"A",1996-08-12,"A-016","A-016","A-042",1,0,NA,NA,NA,NA,NA,2006-06-12
"A-124",1,"A",1996-08-12,"A-016","A-016","A-042",2,0,NA,NA,NA,NA,NA,1997-03-12
"A-125",1,"A",1996-09-12,"A-002","A-002","M-053",1,0,NA,NA,NA,NA,NA,2005-09-12
"A-126",1,"A",1996-09-12,"A-002","A-002","M-053",2,0,NA,NA,NA,NA,NA,2002-05-12
"A-127",2,"A",1996-09-12,"A-001","A-001","A-047",1,0,NA,NA,NA,NA,NA,2012-09-12
"A-128",2,"A",1996-09-12,"A-015","A-015","A-042",1,0,NA,NA,NA,NA,NA,1997-06-12
"A-129",2,"A",1996-09-12,"A-015","A-015","A-042",2,0,NA,NA,NA,NA,NA,2011-08-12
"A-130",2,"A",1996-10-12,"A-004","A-004","A-047",1,0,NA,NA,NA,NA,NA,2006-06-12
"A-131",1,"A",1996-10-12,"A-009","A-009","N-042",1,0,NA,NA,NA,NA,NA,2002-01-12
"A-132",1,"A",1996-11-12,"A-003","A-003","A-042",1,0,NA,NA,NA,NA,NA,2010-05-12
"A-133",2,"A",1996-11-12,"A-003","A-003","A-042",2,0,NA,NA,NA,NA,NA,1998-05-12
"A-134",1,"A",1996-12-12,"A-013","A-013","M-053",1,0,NA,NA,NA,NA,NA,2009-06-12
"A-135",1,"A",1996-12-12,"A-013","A-013","M-053",2,0,NA,NA,NA,NA,NA,2005-05-12
"A-136",2,"A",1997-04-12,"A-010","A-010","N-042",1,0,NA,NA,NA,NA,NA,2011-03-12
"A-137",2,"A",1997-04-12,"A-015","A-015","A-042",1,0,NA,NA,NA,NA,NA,2008-04-12
"A-138",2,"A",1997-07-12,"A-002","A-002","A-051",1,0,NA,NA,NA,NA,NA,1999-02-12
"A-139",2,"A",1997-07-12,"A-002","A-002","A-051",2,0,NA,NA,NA,NA,NA,2011-10-12
"A-140",1,"A",1997-08-12,"A-014","A-014","A-044",1,0,NA,NA,NA,NA,NA,1999-07-12
"A-141",1,"A",1997-09-12,"A-016","A-016","A-042",1,0,NA,NA,NA,NA,NA,2004-11-12
"A-142",2,"A",1997-11-12,"A-003","A-003","A-042",1,0,NA,NA,NA,NA,NA,2008-09-12
"A-143",1,"A",1997-11-12,"A-003","A-003","A-042",2,0,NA,NA,NA,NA,NA,1998-10-12
"A-144",1,"A",1997-12-12,"A-019","A-019","N-042",1,0,NA,NA,NA,NA,NA,1999-03-12
"A-145",1,"A",1998-01-12,"A-013","A-013","A-051",1,0,NA,NA,NA,NA,NA,2000-11-12
"A-146",2,"A",1998-01-12,"A-013","A-013","A-051",2,0,NA,NA,NA,NA,NA,1999-12-12
"A-147",1,"A",1998-02-12,"A-018","A-018","N-042",1,0,NA,NA,NA,NA,NA,2002-06-12
"A-148",2,"A",1998-02-12,"A-010","A-010","N-042",1,0,NA,NA,NA,NA,NA,2003-08-12
"A-149",2,"A",1998-03-12,"A-014","A-014","A-044",1,0,NA,NA,NA,NA,NA,2000-06-12
"A-150",1,"A",1998-03-12,"A-020","A-020","A-051",1,0,NA,NA,NA,NA,NA,2011-05-12
"A-151",1,"A",1998-06-12,"A-004","A-004","A-047",1,0,NA,NA,NA,NA,NA,2000-07-12
"A-152",1,"A",1998-06-12,"A-004","A-004","A-047",2,0,NA,NA,NA,NA,NA,2011-02-12
"A-153",1,"A",1998-07-12,"A-002","A-002","A-051",1,0,NA,NA,NA,NA,NA,2001-12-12
"A-154",2,"A",1998-09-12,"A-121","A-121","E-042",1,0,NA,NA,NA,NA,NA,1999-04-12
"A-155",2,"A",1998-09-12,"A-016","A-016","A-042",1,0,NA,NA,NA,NA,NA,2009-07-12
"A-156",1,"A",1998-09-12,"A-016","A-016","A-042",2,0,NA,NA,NA,NA,NA,2000-01-12
"A-157",1,"A",1998-12-12,"A-130","A-130","N-041",1,0,NA,NA,NA,NA,NA,2000-01-12
"A-158",1,"A",1999-02-12,"A-017","A-017","A-047",1,0,NA,NA,NA,NA,NA,2000-04-12
"A-159",2,"A",1999-03-12,"A-010","A-010","N-042",1,0,NA,NA,NA,NA,NA,2006-11-12
"A-160",1,"A",1999-03-12,"A-010","A-010","N-042",2,0,NA,NA,NA,NA,NA,2013-05-12
"A-161",2,"A",1999-03-12,"A-009","A-009","N-042",1,0,NA,NA,NA,NA,NA,2000-10-12
"A-162",2,"A",1999-04-12,"A-013","A-013","A-051",1,0,NA,NA,NA,NA,NA,2000-08-12
"A-163",1,"A",1999-04-12,"A-013","A-013","A-051",2,0,NA,NA,NA,NA,NA,2002-04-12
"A-164",1,"A",1999-05-12,"A-018","A-018","N-042",1,0,NA,NA,NA,NA,NA,2002-09-12
"A-165",1,"A",1999-05-12,"A-018","A-018","N-042",2,0,NA,NA,NA,NA,NA,2005-12-12
"A-166",1,"A",1999-08-12,"A-002","A-002","A-051",1,0,NA,NA,NA,NA,NA,2000-09-12
"A-167",2,"A",1999-08-12,"A-019","A-019","N-042",1,0,NA,NA,NA,NA,NA,2000-05-12
"A-168",1,"A",1999-08-12,"A-020","A-020","A-051",1,0,NA,NA,NA,NA,NA,2002-12-12
"A-169",1,"A",1999-10-12,"A-003","A-003","A-042",1,0,NA,NA,NA,NA,NA,2011-07-12
"A-170",2,"A",1999-11-12,"A-122","A-122","E-042",1,0,NA,NA,NA,NA,NA,2004-11-12
"A-171",1,"A",1999-12-12,"A-017","A-017","A-047",1,0,NA,NA,NA,NA,NA,2008-09-12
"A-172",2,"A",2000-01-12,"A-014","A-014","A-047",1,0,NA,NA,NA,NA,NA,2011-06-12
