"ID","origin","destination","date"
"A-057","A","A",1996-04-12
"N-045","N","N",1996-04-12
"A-049","A","M",1996-05-12
"A-052","A","L",1996-05-12
"A-053","A","N",1996-05-12
"A-057","A","M",1996-05-12
"L-044","L","N",1996-05-12
"L-045","L","S",1996-05-12
"M-041","M","T",1996-05-12
"M-042","M","N",1996-05-12
"M-044","M","N",1996-05-12
"M-047","M","E",1996-05-12
"M-051","M","L",1996-05-12
"N-042","N","A",1996-05-12
"N-043","N","M",1996-05-12
"N-045","N","T",1996-05-12
"S-041","S","E",1996-05-12
"S-042","S","A",1996-05-12
"S-043","S","N",1996-05-12
"S-044","S","A",1996-05-12
"A-056","A","L",1996-06-12
"M-052","M","L",1996-06-12
"N-040","N","A",1996-06-12
"E-042","E","L",1996-08-12
"A-043","A","L",1996-09-12
"A-046","A","M",1996-10-12
"E-044","E","F",1996-10-12
"N-041","N","L",1996-12-12
"F-045","F","M",1997-02-12
"M-087","M","E",1997-03-12
"T-040","T","F",1997-03-12
"M-092","M","M",1997-03-12
"N-046","N","F",1997-04-12
"L-049","L","L",1997-04-12
"S-044","A","M",1997-06-12
"E-046","E","S",1997-07-12
"A-050","A","L",1997-08-12
"N-081","N","A",1997-08-12
"L-089","L","L",1997-08-12
"L-082","L","F",1997-09-12
"L-083","L","F",1997-09-12
"M-010","M","F",1997-09-12
"A-084","A","A",1997-10-12
"M-083","M","M",1997-10-12
"L-089","L","T",1997-11-12
"M-080","M","N",1997-11-12
"A-085","A","A",1997-11-12
"L-045","S","A",1997-12-12
"A-113","A","L",1998-01-12
"M-084","M","A",1998-01-12
"M-093","M","A",1998-01-12
"S-042","A","M",1998-01-12
"A-054","A","A",1998-01-12
"M-045","M","L",1998-04-12
"N-045","T","M",1998-05-12
"N-082","N","A",1998-05-12
"S-045","S","A",1998-06-12
"T-082","T","M",1998-06-12
"A-119","A","A",1998-06-12
"L-091","L","A",1998-07-12
"L-093","L","N",1998-07-12
"N-083","N","A",1998-08-12
"S-040","S","A",1998-08-12
"S-048","S","M",1998-08-12
"A-121","A","A",1998-09-12
"A-123","A","L",1998-10-12
"A-124","A","M",1998-10-12
"A-125","A","M",1998-10-12
"M-092","M","E",1998-10-12
"M-096","M","A",1998-10-12
"M-097","M","L",1998-10-12
