"date","clan","rank","ID","selection"
1996-04-12,"A",1,"A-001",NA
1996-04-12,"A",2,"A-084",NA
1996-04-12,"A",3,"A-018",NA
1996-04-12,"A",4,"A-046",NA
1996-04-12,"A",5,"A-010",NA
1996-04-12,"A",6,"A-002",NA
1996-04-12,"A",7,"A-004",NA
1996-04-12,"A",8,"A-054",NA
1996-04-12,"A",9,"A-013",NA
1996-04-12,"A",10,"A-041",NA
1996-04-12,"A",11,"A-009",NA
1996-04-12,"A",12,"A-003",NA
1996-04-12,"A",13,"A-085",NA
1996-04-12,"A",14,"A-049",NA
1996-04-12,"A",15,"A-016",NA
1996-04-12,"A",16,"A-019",NA
1996-04-12,"A",17,"A-014",NA
1996-04-12,"A",18,"A-040",NA
1996-04-12,"A",19,"A-006",NA
1996-04-12,"A",20,"A-015",NA
1996-04-12,"A",21,"A-008",NA
1996-04-12,"A",22,"A-017",NA
1996-04-12,"A",23,"A-020",NA
1996-04-12,"A",24,"A-057",NA
1996-04-12,"A",25,"A-007",NA
1996-04-12,"A",26,"A-082",NA
1996-04-12,"A",27,"A-056",NA
1996-04-12,"A",29,"A-083",NA
1996-04-12,"A",30,"A-113",NA
1996-04-12,"A",31,"A-043",NA
1996-04-12,"A",32,"A-052",NA
1996-04-12,"A",33,"A-053",NA
1996-04-12,"A",34,"A-044",NA
1996-04-12,"A",35,"A-047",NA
1996-04-12,"A",36,"A-045",NA
1996-04-12,"A",37,"A-042",NA
1996-04-12,"A",38,"M-053",NA
1996-04-12,"A",39,"A-051",NA
1996-04-12,"A",40,"A-011",NA
1996-04-12,"A",41,"A-050",NA
1996-04-12,"A",42,"A-048",NA
1996-04-12,"E",1,"E-004",NA
1996-04-12,"E",2,"E-080",NA
1996-04-12,"E",3,"E-044",NA
1996-04-12,"E",4,"E-003",NA
1996-04-12,"E",5,"E-046",NA
1996-04-12,"E",6,"E-005",NA
1996-04-12,"E",7,"E-001",NA
1996-04-12,"E",8,"E-045",NA
1996-04-12,"E",9,"E-002",NA
1996-04-12,"E",10,"E-042",NA
1996-04-12,"E",11,"E-043",NA
1996-04-12,"E",12,"E-041",NA
1996-04-12,"E",13,"E-040",NA
1996-04-12,"F",1,"F-001",NA
1996-04-12,"F",2,"F-007",NA
1996-04-12,"F",3,"F-045",NA
1996-04-12,"F",4,"F-002",NA
1996-04-12,"F",5,"F-006",NA
1996-04-12,"F",6,"F-003",NA
1996-04-12,"F",7,"F-004",NA
1996-04-12,"F",8,"F-008",NA
1996-04-12,"F",9,"F-005",NA
1996-04-12,"F",12,"F-040",NA
1996-04-12,"F",13,"F-041",NA
1996-04-12,"F",14,"F-042",NA
1996-04-12,"F",15,"F-043",NA
1996-04-12,"L",1,"L-007",NA
1996-04-12,"L",2,"L-088",NA
1996-04-12,"L",3,"L-004",NA
1996-04-12,"L",4,"L-044",NA
1996-04-12,"L",5,"L-008",NA
1996-04-12,"L",6,"L-045",NA
1996-04-12,"L",7,"L-002",NA
1996-04-12,"L",8,"L-082",NA
1996-04-12,"L",9,"L-013",NA
1996-04-12,"L",10,"L-005",NA
1996-04-12,"L",11,"L-083",NA
1996-04-12,"L",12,"L-009",NA
1996-04-12,"L",13,"L-010",NA
1996-04-12,"L",14,"L-046",NA
1996-04-12,"L",15,"L-015",NA
1996-04-12,"L",16,"L-014",NA
1996-04-12,"L",17,"L-001",NA
1996-04-12,"L",18,"L-012",NA
1996-04-12,"L",19,"L-011",NA
1996-04-12,"L",20,"L-003",NA
1996-04-12,"L",21,"L-089",NA
1996-04-12,"L",22,"L-006",NA
1996-04-12,"L",23,"L-049",NA
1996-04-12,"L",24,"L-042",NA
1996-04-12,"L",25,"L-041",NA
1996-04-12,"L",26,"L-043",NA
1996-04-12,"L",27,"L-040",NA
1996-04-12,"L",28,"L-047",NA
1996-04-12,"L",29,"L-048",NA
1996-04-12,"M",1,"M-003",NA
1996-04-12,"M",2,"M-082",NA
1996-04-12,"M",3,"M-083",NA
1996-04-12,"M",4,"M-007",NA
1996-04-12,"M",5,"M-041",NA
1996-04-12,"M",6,"M-006",NA
1996-04-12,"M",7,"M-088",NA
