denname,latitude,longitude,altitude,habitat,soil,clan1,clan2,clan3,type1,type2,observer
Kongoni,-3.04389,35.98701,,FOR,earth,X,,,comm,,
Kibiriti,-3.10083,35.64133,,airstrip/bush,earth,U,,,comm,,
Mbali,-3.11833,35.59333,,HER/GRM,earth,M,,,comm,,
Esere,-3.12158,35.54016,,GRS,earth,E,,,comm,,OH+PN
Eden,-3.12226,35.53609,,GRL,earth,E,,,comm,,PN
Eklat,-3.12289,35.52527,,GRS,earth,E,,,comm,,OH
Kilusu,-3.12417,35.69583,,FOR,earth,C,,,comm,,
Efendi,-3.12487,35.52713,1761.58,GRM,earth,E,,,comm,,OH
Antiweeb,-3.12675,35.53082,,GRS,earth,A,,,comm,,
Easter-20,-3.12684,35.53132,,GRL,earth,E,,,comm,,PN
Erasmus 2,-3.12907,35.54004,,HER,,E,,,comm,,PN
Erasmus,-3.12969,35.54132,,HER,earth,E,,,comm,,
Eskimo,-3.12977,35.53288,,GRL,earth,E,,,comm,,PN
Eskimo 2,-3.13004,35.53140,,GRL,earth,E,,,comm,,PN
Esirwa,-3.13032,35.55963,,GRL,,E,,,comm,,
Elfin,-3.13220,35.54068,,GRM,,E,,,comm,,DM+PN
Ella,-3.13251,35.54506,,GRM,,E,,,comm,,DM+PN
Jackal,-3.13268,35.51764,,ERO,earth,A,,,comm,,
E-culvert,-3.13269,35.56344,,ROC,metal,E,,,comm,,
Aquarius,-3.13384,35.51802,,GRL,earth,,,,comm,,
Ekalara,-3.13416,35.54772,2742,GRM,earth,E,,,comm,,PN
Arkona,-3.13500,35.51172,,ERO,ss,A,,,comm,,
A559-den,-3.13541,35.52783,1750.9,GRS,earth,A,,,comm,,OH
E-003 birth 2,-3.13572,35.53826,,HER,earth,E,,,birth E-003,,
Ananas,-3.13581,35.51901,,,,A,,,,,
Amilo,-3.13680,35.53184,,HER,earth,A,,,comm,,
Asteroid,-3.13777,35.53363,,HER,earth,A,,,comm,,
Addis,-3.13786,35.50866,,ERO,ss,A,,,comm,,
Astero 2,-3.13793,35.53269,1751.4,GRS,earth,A,,,comm,,OH
Engitati,-3.13830,35.54683,,GRL,earth,E,,,comm,,
Alimama 2,-3.13842,35.50840,,GRS,earth,A,,,comm,,
Alimama,-3.13867,35.50650,,ERO,ss,A,,,comm,birth A-080,
Mount,-3.13917,35.59683,,GRM,earth,M,,,comm,,
Alikaka,-3.13933,35.49833,,GRL,ss,A,,,comm,,
Alinani,-3.13933,35.49683,,ERO,ss,A,,,comm,,
Msitu,-3.13933,35.65493,,,,M,,,M-263 + M-315,,
Alto,-3.13962,35.50135,,ERO,ss,A,,,comm,,
Alibaba,-3.14017,35.50417,,ERO,ss,A,,,comm,,
Akwaba,-3.14028,35.50152,,ERO,ss,A,,,comm,,
Arena,-3.14033,35.49733,,ERO,ss,A,,,comm,,
Arte,-3.14044,35.50137,,ERO,earth,A,,,comm,,
Aakash,-3.14055,35.51064,,GRM,earth,A,,,comm,,
Abuela,-3.14056,35.51463,,GRS,earth,A,,,comm,,
Ampere,-3.14063,35.52895,,HER,earth,A,,,comm,,
Amarula,-3.14067,35.50383,,ERO,ss,A,,,comm,,
Giza,-3.14083,35.62433,,HER/GRS,earth,M,,,birth M-016,,
Adam 2,-3.14097,35.53215,1749.9,GRS,earth,A,,,comm,,OH
A-001 birth,-3.14117,35.50350,,ERO,ss,A,,,birth A-001,,
Alidada,-3.14117,35.50233,,ERO,ss,A,,,comm,,
Kunja birth,-3.14117,35.62483,,HER,earth,M,,,birth M-005,,
Mistery,-3.14117,35.62517,,GRS,earth,M,,,birth M-016,,
Aakash 2,-3.14159,35.51085,,GRS,earth,A,,,comm,,
Alarm,-3.14163,35.51515,,HER,earth,A,,,comm,,
Aligumu,-3.14167,35.50150,,ERO,ss,A,,,birth,,
Andangi,-3.14183,35.50300,,ERO,ss,A,,,A-081 + A-124,,
Giza 2,-3.14183,35.62500,,HER/GRS,earth,M,,,M-016 + cub,,
Amsterdam,-3.14212,35.53211,,GRS,,A,,,comm,,
Apache,-3.14230,35.51200,,GRS,earth,A,,,comm,,
Asparagus 3,-3.14239,35.49900,,ERO,earth,A,,,comm,,
Adam,-3.14246,35.53269,,burned/GRS,earth,A,,,comm,,
Mlima,-3.14283,35.59883,,GRS,earth,M,U,,comm,,
Asparagus,-3.14324,35.49950,,ERO,earth,A,,,comm,,
Maroni,-3.14333,35.61567,,GRM,earth,M,,,comm,,
Airolo,-3.14335,35.51222,,ERO,earth,A,,,comm,,
Airolo 2,-3.14348,35.51282,,HER,earth,A,,,comm,,OH
Emmi,-3.14365,35.57782,,GRM,earth,E,,,comm,,
Estime,-3.14396,35.56935,,GRS,earth,E,,,comm,,
Eufori 2,-3.14396,35.57131,,GRL,earth,E,,,comm,,
Eule,-3.14409,35.58722,,GRL,earth,E,,,comm,,
Argos 2,-3.14417,35.52467,,GRL,earth,A,,,comm,,
Eufori 4,-3.14420,35.57112,,GRL,,E,,,comm,,PN
Eilat,-3.14450,35.56917,,GRL,earth,E,,,comm,,
Evita,-3.14450,35.57150,,HER,earth,E,,,E-001 + cubs,,
E-001 birth,-3.14450,35.57483,,HER,earth,E,,,birth E-001,,
Engutoto,-3.14456,35.56919,,,,E,,,comm,,
Eufori,-3.14460,35.57403,,GRL,earth,E,,,comm,,
Eufori 3,-3.14484,35.57310,,GRL,,E,,,comm,,PN
Evita 2,-3.14485,35.57201,,,,E,,,comm,,
Alinghi,-3.14500,35.50150,,ERO,earth,A,,,comm,,
Eremit,-3.14500,35.57782,,GRS,earth,E,,,comm,,
Asparagus 2,-3.14519,35.49971,,ERO,earth,A,,,comm,,
Elimu,-3.14540,35.57602,,,,E,,,,,
Argos,-3.14550,35.52450,,GRL,earth,A,,,comm,,
Esapai,-3.14583,35.56767,,GRL,earth,E,,,comm,,
Eutaxy,-3.14597,35.56667,,,,E,,,comm,,
Adobe,-3.14613,35.50318,,ERO,earth,A,,,comm,,
A-135 birth,-3.14617,35.52347,,burned/GRS,earth,A,,,birth A-135,,
Estragon,-3.14617,35.56600,,GRL,earth,E,,,birth E-006,comm,
Mozart,-3.14623,35.61762,,GRM,earth,M,,,comm,,
Anoy,-3.14629,35.52776,,HER,earth,A,,,comm,,OH+ED
Argentina 5,-3.14632,35.52515,,HER,earth,A,,,comm,,OH+ED
Aroma,-3.14650,35.50100,,ERO,earth,A,,,comm,,
Engolong,-3.14650,35.56600,,GRL,earth,E,,,comm,,
Argos 3,-3.14660,35.52200,,burned/GRS,ss,A,,,comm,,
Argos 4,-3.14674,35.52294,,GRS,earth,A,,,comm,,
Empakai,-3.14700,35.57450,,GRL,earth,E,,,comm,,
Amani,-3.14710,35.49900,,burned/GRS,earth,A,,,comm,,
Argentina 2,-3.14713,35.52644,,GRS,earth,A,,,comm,,
Argentina 4,-3.14720,35.52762,,GRS,earth,A,,,comm,,
Ekenywa,-3.14733,35.57456,,,,E,,,,,
Ego,-3.14750,35.58883,,GRS,earth,E,,,birth E-085,,
Epa,-3.14750,35.57383,,HER,earth,E,,,birth E-001,,
Alone,-3.14767,35.49850,,ERO,earth,A,,,birth A-080,comm,
Engamat,-3.14767,35.56933,,HER,earth,E,,,comm,,
Eureka,-3.14767,35.56867,,GRL,earth,E,,,comm,,
A-313 birth,-3.14768,35.52590,,GRM,earth,A,,,comm,,
Argentina 3,-3.14790,35.52385,,GRS,earth,A,,,comm,,
Camp,-3.14792,35.62310,1827.958,GRS,,C,M,,comm,,PN+DM
E-003 birth,-3.14833,35.56683,,GRL,earth,E,,,birth E-003,,
Efeu,-3.14833,35.58000,,GRS,earth,E,,,comm,,
Erratum,-3.14837,35.56763,,GRS,earth,E,,,comm,,
Erratum 2,-3.14843,35.56747,,GRS,earth,E,,,comm,,
Crucial,-3.14867,35.62155,1822.492,GRS,,C,M,,comm,,PN+DM
Amrit,-3.14873,35.51888,,GRM,earth,A,,,comm,,
Argentina,-3.14897,35.52745,,ERO,ss,A,,,comm,,
Materuni,-3.14922,35.62342,,,,M,,,,,
Essig,-3.14948,35.56958,,GRS,earth,E,,,comm,,
Edeka,-3.14964,35.57532,,,,E,,,,,
Enjere,-3.14983,35.58050,,GRL,earth,E,,,comm,,
Adonis,-3.15007,35.49318,,ERO,ss,A,,,comm,,
Malaika,-3.15012,35.61867,,,,M,,,,,
Eros,-3.15033,35.58233,,GRL,earth,E,,,comm,,
Justine,-3.15033,35.61800,,HER/GRS,earth,M,,,comm,,
Agame,-3.15050,35.52083,,GRS,earth,A,,,comm,,
Milan,-3.15060,35.62235,,GRL,earth,M,,,comm,,
Marefu,-3.15067,35.62267,,HER,earth,M,,,comm,,
Amrit 2,-3.15070,35.51820,,GRS,earth,A,,,A-515,,
Echo,-3.15083,35.58400,,GRS,earth,E,,,birth E-003,comm,
Edelweiss,-3.15111,35.56479,,GRL,earth,E,,,comm,,
Eland,-3.15150,35.58617,,GRS,earth,E,,,E-006 + E-116,comm,
Area,-3.15167,35.51600,,GRM,earth,A,,,comm,,
Mahali,-3.15167,35.61733,,HER/GRS,earth,M,,,comm,,
Eagle,-3.15183,35.56500,,GRL,earth,E,,,comm,,
Eritrea,-3.15189,35.57170,,GRL,earth,E,,,comm,,
Micro,-3.15220,35.62182,,,,M,,,,,
Mega,-3.15233,35.62050,,GRS,earth,M,,,comm,,
Malaika2,-3.15233,35.62070,,,,M,,,,,
Ajira,-3.15249,35.51970,,,,A,,,comm,,
Azzurro,-3.15258,35.50686,,GRS,earth,A,,,comm,,
Mutschli,-3.15283,35.61383,,GRS,earth,M,,,comm,birth M-082,
Moli,-3.15317,35.62383,,HER,earth,M,,,comm,,
Misere,-3.15350,35.64365,,ROC,metal,M,,,comm,,
Mist 2,-3.15378,35.61298,,GRM,earth,M,,,comm,,
Mist,-3.15383,35.61367,,HER,earth,M,,,comm,,
Mali,-3.15400,35.62250,,HER,earth,M,,,comm,,
Mississippi,-3.15414,35.64460,,RIV,earth,M,,,comm,,
A-476 birth,-3.15486,35.51285,,,,A,,,comm,,PN
Lemming,-3.15497,35.56529,,GRS,earth,L,,,comm,,
Miro,-3.15567,35.61500,,GRS,earth,M,,,comm,,
Lac,-3.15587,35.56218,,GRS,earth,L,,,comm,,
Aliko,-3.15587,35.51095,,HER,earth,A,,,comm,,
Majani,-3.15617,35.61083,,HER,earth,M,,,comm,,
Coconut,-3.15633,35.67217,,ROC,metal,C,,,comm,,
Elbe,-3.15644,35.58002,,GRL,earth,E,,,comm,,
Mgeni,-3.15650,35.60950,,GRM,earth,M,,,comm,,
Muskat,-3.15667,35.60950,,GRM,earth,M,,,comm,,
