name,sex,birthclan,birthdate,mothergenetic,mothersocial,father,litterdominance,DNA,litterdominancegenetic,name2,deathconfirmed,deathcause,comments,resident
A-001,2,A,1988-05-21,,,,,TRUE,,,,,,native
A-002,2,A,1992-10-21,,,,,FALSE,,,,,,native
A-003,2,A,1989-05-21,,,,,TRUE,,,,old age?,,native
A-004,2,A,1988-07-13,,,,,FALSE,,,,,,native
A-006,2,A,1991-07-17,,,,,TRUE,,,,,,native
A-007,2,A,1988-07-14,,,,,FALSE,,,,,,native
A-008,2,A,1994-05-21,A-015,A-015,A-045,,TRUE,,S-008,,,,native
A-009,2,A,1994-01-16,,,,,TRUE,,,,,,native
A-010,2,A,1994-09-21,A-001,A-001,A-045,1,TRUE,1,,,,,native
A-011,1,X,1992-04-14,,,,,TRUE,,,,,,founder
A-013,2,A,1991-12-07,,,,,TRUE,,,,,,native
A-014,2,A,1983-09-25,,,,,FALSE,,,,old age?,,native
A-015,2,A,1990-07-17,,,,,TRUE,,,,,,native
A-016,2,A,1991-06-18,,,,,TRUE,,,,,,native
A-017,2,A,1985-04-10,,,,,FALSE,,,,,,native
A-018,2,A,1994-09-21,A-001,A-001,A-045,3,TRUE,3,S-018,,,A-018+A-046 thought to be twins with birthday 1995-05-18 but birth intervals between A-010 / A-018+A-046 / A-084 are too short. Upon inspection of ID pictures on 20201203 decided to consider A-010+A-018+A-046 as triplet litter,native
A-019,2,A,1994-09-17,A-016,A-016,,,TRUE,,S-019,,,,native
A-020,2,A,1991-08-03,,,,,TRUE,,,,,,native
A-040,1,A,1994-04-13,,,,,TRUE,,,,,,native
A-041,1,A,1994-07-14,A-013,A-013,,,TRUE,,Sapok,,,,native
A-042,1,X,1991-07-13,,,,,TRUE,,,,,,founder
A-043,1,A,1993-05-21,,,,,FALSE,,,,,,native
A-044,1,X,1984-05-21,,,,,FALSE,,,,,,founder
A-045,1,X,1988-07-13,,,,,TRUE,,,,,,founder
A-046,1,A,1994-09-21,A-001,A-001,,2,TRUE,2,Subiri,,,A-018+A-046 thought to be twins with birthday 1995-05-18 but birth intervals between A-010 / A-018+A-046 / A-084 are too short. Upon inspection of ID pictures on 20201203 decided to consider A-010+A-018+A-046 as triplet litter,native
A-047,1,X,1989-04-26,,,,,FALSE,,,,,,founder
A-048,1,X,1993-07-13,,,,,TRUE,,,,,,founder
A-049,1,A,1994-04-14,,,,,TRUE,,Mashavu,,,,native
A-050,1,X,1993-09-07,,,,,TRUE,,,,,,founder
A-051,1,X,1993-03-10,,,,,TRUE,,,,,,founder
A-052,1,A,1993-08-07,,,,,TRUE,,,,,,native
A-053,1,A,1993-08-01,,,,,FALSE,,,,,,native
A-054,1,A,1995-12-23,,,A-011,,TRUE,,Kureti,,,mother might be A-004,native
A-055,1,X,1990-08-18,,,,,FALSE,,,,,,immigrant
A-056,1,A,1994-06-06,,,,,TRUE,,Mwezi,,,,native
A-057,1,A,1994-04-07,A-020,A-020,,,TRUE,,,,,,native
A-058,,A,1995-05-20,,,,,FALSE,,,,,,native
A-059,1,A,2002-10-19,,,,,FALSE,,"A-cub7, A-153-x",,,,native
A-060,2,A,2002-10-20,,,,,FALSE,,"A-cub4, A-153-y",,,,native
A-061,,A,2003-07-25,A-016,A-016,,1,FALSE,1,,,,,native
A-062,,A,2006-08-02,A-145,A-145,,1,FALSE,1,,,,,native
A-063,,A,2006-08-02,A-145,A-145,,2,FALSE,2,,,,,native
A-080,2,A,1996-06-11,A-002,A-002,A-011,,TRUE,,Tifu,,,,native
A-081,2,A,1996-06-21,A-020,A-020,,,TRUE,,Vumbi,,,,native
A-082,1,A,1995-11-13,A-007,A-007,,,FALSE,,,,,mother might be A-007,native
A-083,1,A,1996-02-08,,,,,FALSE,,,,,,native
A-084,1,A,1995-10-08,A-001,A-001,,,TRUE,,Morani,2003-10-20,lions,"lions, we heard fighting/screaming at hippo pool by hy, four days before A-084 died. We saw A-084 with severe injuries the day before he died and wounds on dead body clearly indicated pucture holes by lions.",native
A-085,1,A,1995-10-20,A-003,A-003,,,TRUE,,,,shot by rangers,shot by rangers in S-terr,native
A-086,1,A,1996-10-28,A-014,A-014,,1,FALSE,1,,,,,native
A-087,1,A,1996-10-28,A-014,A-014,A-051,2,TRUE,2,Hamisi,,,,native
A-088,2,A,1996-12-12,A-001,A-001,,1,FALSE,1,,,,,native
A-089,1,A,1996-12-12,A-001,A-001,,2,TRUE,2,,,,,native
A-090,1,A,1997-01-20,A-015,A-015,,1,FALSE,1,,,,,native
A-091,1,A,1997-01-20,A-015,A-015,,2,FALSE,2,,,,,native
A-092,1,A,1996-10-29,A-016,A-016,A-011,,TRUE,,,,,,native
A-093,1,A,1996-12-26,,,,,TRUE,,Vamizi,,,mother might be A-017,native
A-094,,A,1997-05-07,A-004,A-004,,,FALSE,,,,,,native
A-095,1,A,1996-11-20,,,,,FALSE,,,,,,native
A-096,2,A,1997-06-12,A-003,A-003,,1,FALSE,1,,,,,native
A-097,1,A,1997-06-12,A-003,A-003,,2,FALSE,2,,,,,native
A-098,2,A,1997-07-22,A-010,A-010,,1,FALSE,1,,,,,native
A-099,1,A,1997-07-22,A-010,A-010,,2,FALSE,2,,,,,native
A-100,1,A,1997-08-15,A-006,A-006,A-045,,TRUE,,,,shot by rangers,shot by rangers in F-terr,native
A-101,2,A,1998-01-18,A-001,A-001,A-045,,TRUE,,,,,,native
A-102,2,A,1998-06-15,A-016,A-016,A-051,1,TRUE,1,,,,,native
A-103,1,A,1998-06-15,A-016,A-016,,2,TRUE,2,,,shot by rangers,shot by rangers in F-terr,native
A-104,2,A,1998-08-15,A-003,A-003,A-045,,TRUE,,,,,,native
A-105,2,A,1998-10-15,A-010,A-010,,1,TRUE,1,,,,,native
A-106,2,A,1998-10-15,A-010,A-010,,2,TRUE,2,,,,,native
A-107,2,A,1999-03-17,A-001,A-001,A-011,1,TRUE,1,,,,,native
A-108,2,A,1999-03-17,A-001,A-001,A-011,2,TRUE,2,,,,,native
A-109,1,A,1999-04-20,A-009,A-009,A-051,,TRUE,,,,,,native
A-110,2,A,1999-09-04,A-080,A-080,,,TRUE,,,,,,native
A-111,1,A,1998-03-15,A-020,A-020,,,TRUE,,,,,,native
A-112,2,A,1998-03-03,,,,,FALSE,,,,,,native
A-113,1,A,1995-12-25,,,,,FALSE,,,,,,native
A-114,2,A,1997-08-23,A-013,A-013,A-050,,TRUE,,,,,,native
A-115,2,A,1999-11-13,A-020,A-020,A-051,1,TRUE,1,,,,,native
A-116,2,A,1999-11-14,A-015,A-015,A-051,,TRUE,,,,,,native
A-117,1,A,1999-11-28,A-006,A-006,M-041,,TRUE,,,,,,native
A-118,1,A,1999-11-13,A-020,A-020,A-051,2,TRUE,2,,,,,native
A-119,2,A,1999-12-03,A-013,A-013,A-040,1,TRUE,1,,,,,native
A-120,2,A,1999-12-03,A-013,A-013,,2,FALSE,2,,,,,native
