injuryID,date,time,ID,description,cause,bodypart,sizeincm,consequences,comments,observer
in0001,1996-04-16,11:27,M-041,"wound, skin hanging down",snare,LHL,4x4,"limping badly, not standing on the leg",,
in0002,1996-04-24,17:47,M-041,"wound, skin around leg ripped down",snare,LHL,6cm of skin ripped down,"not limping when WA, but LO with 3 legs only",,
in0003,1996-04-25,15:50,M-002,wound,,LHL,1.5x1.5,none,,
in0004,1996-04-25,16:10,M-005,"pinkish ""wound""",,tip of penis and bum,1x1 and 3x1 resp,none,visible when she lifts tail,
in0005,1996-04-26,17:15,M-001,wound left side belly,,left side belly,2x2,none,,
in0006,1996-04-28,16:05,M-006,"split penis, refuses to SU M-087 + M-088",gives birth 19.06.96,penis,-,none,,
in0007,1996-04-28,16:11,M-006,2 cuts and split pseudopenis,,"LHL, outside and pseudopenis","cuts: 4, pseudopenis: 5",none,,
in0008,1996-04-28,17:14,M-043,"swollen foot, cripple foot",,RHL,-,"limping badly, not standing on the leg",,
in0009,1996-06-05,16:25,M-008,wound,,20cm above tail root,7x5,none,,
in0010,1996-06-07,7:07,M-086,?,,LHL,-,"limping badly, not standing on the leg",,
in0011,1996-06-14,10:20,L-040,wound,,"back, right side",4x6,none,,
in0012,1996-06-20,10:00,M-041,wound,snare,LHL,,limping when getting up,wound again open and bleeding,
in0013,1996-06-20,10:06,M-008,open wound,,"back, right side",4x3,none,,
in0014,1996-06-23,10:04,A-001,"2 puncture holes, 20cm apart",WI (horns),LHL,2x3 and 2x2 resp,limping,"is EA from WI head, prob killed by her and 7 other Airstrips",
in0015,1996-07-10,6:51,L-006,"open wound, swollen",,RFL,3x7,limping,,
in0016,1996-07-10,,L-092,"scars, bold patches",L-091,"neck, shoulder",1x1,none,,
in0017,1996-07-13,8:21,S-044,?,,RFL,-,limping,,
in0018,1996-07-16,8:55,S-004,"fresh wounds around ear, on head, bleeding",was attacked by Lemalas,"head, neck",,"bleeding, seems depressed",,
in0019,1996-07-17,8:48,A-004,"wound, deep cuts",,above eye to nose and below ear to nose,15 and 3x8 resp,"both eyes half closed, can hardly see and hear",her head and ears are covered in dust,
in0020,1996-07-19,8:32,L-006,"open wound, fresh",,RFL,3x8,limping,,
in0021,1996-07-20,9:38,A-084,"cut, blood around",,left shoulder,10,none,"tried to LK wound, but couldn't reach it properly",
in0022,1996-07-29,9:40,S-002,fresh wound,LI ?,"left shoulder, RFL",15,none,"LI adf L next to freshly killed WI, 150m from S-002",
in0023,1996-07-31,8:29,S-001,Fadennarbe,,RHL,-,limping,,
in0024,1996-08-05,10:35,M-015,swollen penis,copulation ?,penis,-,none,,
in0025,1996-08-06,18:13,L-002,lower jaw dislocated,EQ ?,"lower jaw, left side",-,none,,
in0026,1996-08-10,7:37,L-008,"open wounds, fresh",,"behind right ear, neck, right shoulder, above left shoulder",7x7 (right shoulder),none,,
in0027,1996-08-20,8:50,L-008,wound,,right shoulder,2x2,none,,
in0028,1996-08-31,16:46,M-012,split penis,gives birth 21.03.97,penis,-,none,,
in0029,1996-09-02,10:25,L-012,swollen penis,,penis,-,none,,
in0030,1996-09-15,7:28,M-005,"wound, cut",,"back, right side",1x10,none,,
in0031,1996-09-17,14:46,L-001,wound,,LHL,4x4,none,,
in0032,1996-09-22,13:30,M-001,swelling,infection ?,"udder, left side",-,none,,
in0033,1996-09-26,8:30,L-013,?,,LHL,-,"limping, not standing on this leg",3.10.96 WA without problems,
in0034,1996-09-26,18:20,L-013,"last 4cm of penis, front part, pinkish",,penis,-,none,,
in0035,1996-09-28,11:41,L-005,small wounds,,LHL and neck,1x1 each,"limping badly, not standing on the leg",,
in0036,1996-12-29,10:08,A-056,"open wound, two small holes",may have faught over Hippo skin with A-046,RHL,1x1 each,none,,
in0037,1997-01-04,6:46,M-092,wound with three open spots,,right shoulder,"1x1, 1x2 and 2x2 resp",none,,
in0038,1997-01-06,17:46,L-013,"last 4cm of penis, front part, pinkish",,penis,-,none,,
in0039,1997-01-15,8:50,L-012,"2 puncture holes, ear deformed, wounds around ear",HY,right ear and back,1x1 each,"shaking head, ear held in strange position",,
