year,month,day,Season,Block,WI,EQ,GG,TG,BU,KO,WB,WH,OS,ELA,ELE,RH,Hippo,KB,CC,HY,LI,cheetah,BJ,GJ,SSJ,FX,serval,leopard,baboon,vervet,hare,bushbuck,reedbuck,klipspringer,secretary bird,honey badger
1987,4,NA,wet,1,22,34,NA,NA,550,35,11,NA,14,1,NA,5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,4,NA,wet,2,51,140,NA,NA,720,19,14,NA,5,0,NA,4,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,4,NA,wet,3,4651,1496,NA,NA,570,10,0,NA,0,16,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,4,NA,wet,4,2,0,NA,NA,393,2,0,NA,0,6,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,4,NA,wet,5,4172,1017,NA,NA,454,1,0,NA,1,41,NA,0,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,4,NA,wet,6,113,440,NA,NA,27,33,0,NA,3,0,NA,0,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,9,NA,dry,1,3724,1531,384,NA,338,48,0,NA,5,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,9,NA,dry,2,177,526,48,NA,933,16,13,NA,3,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,9,NA,dry,3,51,7,173,NA,377,7,6,NA,0,0,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,9,NA,dry,4,1708,603,84,NA,0,0,0,NA,3,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,9,NA,dry,5,921,1380,218,NA,1207,15,7,NA,19,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,9,NA,dry,6,834,285,165,NA,0,26,5,NA,7,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,4,NA,wet,1,948,688,444,NA,320,33,40,NA,17,0,26,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,4,NA,wet,2,1,35,19,NA,442,32,18,NA,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,4,NA,wet,3,1330,489,90,NA,292,2,1,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,4,NA,wet,4,75,39,18,NA,482,9,0,NA,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,4,NA,wet,5,2612,949,176,NA,51,20,2,NA,29,53,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,4,NA,wet,6,1139,562,244,NA,552,24,0,NA,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
