year,location,latitude,longitude,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,total,comments
1963,hq,-3.24483,35.48683,140.7,80.1,170.3,240.3,130.8,50.6,10,2.7,8.1,0,310.3,200.9,1344.8,
1964,hq,-3.24483,35.48683,40.6,140.4,190.4,290.4,30.1,10,20,10,5.5,6.3,30,150.1,923.8,
1965,hq,-3.24483,35.48683,100.7,70.1,120.9,150.4,70.1,0,0,2.5,50,10.8,2.5,50.5,628.5,
1966,hq,-3.24483,35.48683,20.2,70.6,140.3,30.7,50.8,50.1,0,1,4.5,10.7,10.5,60,449.4,
1967,hq,-3.24483,35.48683,50,80.6,60.8,250.7,260.1,70.6,100,50.1,50.5,70.8,170.7,200.3,1415.2,
1968,hq,-3.24483,35.48683,120.1,80.9,100.7,160.3,260.6,4.3,4.5,0.5,0.5,8.6,100.2,200.8,1042,
1969,hq,-3.24483,35.48683,94.9,129.6,13.9,16.5,11.4,5.4,22.8,0,46.2,160,245.3,76.2,822.2,
1970,hq,-3.24483,35.48683,251.3,88.1,191.2,115.7,94.7,22.5,0,0,5.5,6,105.4,177.9,1058.3,
1971,hq,-3.24483,35.48683,55.9,69.5,37.3,224.3,47.4,18.8,15.8,15.1,0,0,28.6,97.8,610.5,
1972,hq,-3.24483,35.48683,104.6,128.7,108.7,84.2,108.8,31.3,5.8,0,0.9,121.7,154.4,181.4,1030.5,
1973,hq,-3.24483,35.48683,303.8,278.8,5.4,181.4,39.1,13.1,0,0,8,10,34.4,38.8,912.8,
1974,hq,-3.24483,35.48683,51.6,56.6,308.4,39.5,48.9,41.5,72,10.4,10.4,2.7,42.1,82.1,766.2,
1975,hq,-3.24483,35.48683,66.1,32.2,142.8,121.1,118.2,3.6,28.9,0,8.7,15,4.5,117.9,659,
1976,hq,-3.24483,35.48683,54,90.8,112,206.2,42,27.3,3.5,6.2,15.5,16.5,57.3,81.8,713.1,
1977,hq,-3.24483,35.48683,133.1,173.2,103.1,300.8,85.6,2.3,1.9,10,14.4,48,112.8,145.5,1130.7,
1978,hq,-3.24483,35.48683,160,61.3,228.1,197.4,58.7,12.1,2.7,0,0,40.1,51.8,131.5,943.7,
1979,hq,-3.24483,35.48683,140.4,103.7,136.6,227.8,26.5,10.1,34.4,3,3,7,3,110,805.5,
1980,hq,-3.24483,35.48683,73.1,22.6,10.4,69.5,93.7,12.7,7,58.4,12.7,10.1,80.7,57.1,508,
1981,hq,-3.24483,35.48683,73,60.5,183.8,137.6,0,0,2.5,28.4,6,35,23.3,121.1,671.2,
1982,hq,-3.24483,35.48683,90.2,62.3,48.5,152.1,137.6,49.7,15.5,30,30.6,102.3,167.8,156.4,1043,
1983,hq,-3.24483,35.48683,352.8,75.3,287.2,329.1,299.4,80.5,13.7,4.9,14.4,16,45.9,87.9,1607.1,
1984,hq,-3.24483,35.48683,103.3,39.7,97.3,178.8,29.2,20.3,25.2,0,1.1,105.7,110.4,105.2,816.2,
1985,hq,-3.24483,35.48683,28.8,96.5,282.4,203.9,79.4,5.7,5.3,2.5,0,15,129.5,71.4,920.4,
1986,hq,-3.24483,35.48683,86,20,189.7,191.1,139.5,11.1,0,2,1,81.5,99.5,179.5,1000.9,
1987,hq,-3.24483,35.48683,135.3,99,141.1,71,141.5,4.5,0,11.1,0,0,37.7,72.2,713.4,
1988,hq,-3.24483,35.48683,215.2,56.7,93.7,176.3,10.5,28,0.5,17.3,6.1,23.4,19.9,87.2,734.8,
1989,hq,-3.24483,35.48683,117.6,122.4,203.3,318,180,21.1,0,10,20,118.3,0,187.4,1298.1,
1990,hq,-3.24483,35.48683,76.3,167.4,167.8,179,128,4,0,0,2.5,0,0,160,885,
1991,hq,-3.24483,35.48683,97.9,40,83,128.2,94.8,7.7,2.2,0,0,43,38.2,284,819,
1992,hq,-3.24483,35.48683,0,91,67,330,14,0,0,0,0,10.4,7,188.4,707.8,
1993,hq,-3.24483,35.48683,128,108,104,0,103,0,0,0,0,0,6,0,449,
1994,hq,-3.24483,35.48683,130,170,320,270,210,45,32,0,0,66,87,76,1406,
1995,hq,-3.24483,35.48683,2,20,67,109,105,0,0,0,0,33,51,140.2,527.2,
1996,hq,-3.24483,35.48683,1,91,170.9,284,128.8,35.1,0,0,0,0,15,194.4,920.2,
1997,hq,-3.24483,35.48683,0,0,274.9,423.6,258.4,47,15,0,0,35,206,440.1,1700,
1998,hq,-3.24483,35.48683,310.1,5.3,220.9,256.8,132.2,37,0,0,0,17,68,26.5,1073.8,
1999,hq,-3.24483,35.48683,107.5,10.5,167,85.1,6,0,0,32,8,0.5,35.5,51,503.1,
2000,hq,-3.24483,35.48683,38,89.7,79,78.8,73.2,16.5,1,33,0,0,122,155,686.2,
2001,hq,-3.24483,35.48683,369,88.5,171.8,181.2,99.3,5.9,25,6,0,1,57,73.9,1078.6,
2002,hq,-3.24483,35.48683,145.1,123.9,142,234.16,147.1,0,2,16,0,60.5,56,216.6,1143.36,
2003,hq,-3.24483,35.48683,146.09,64.5,64.1,57.5,207.5,45.5,10,1,4.5,44.7,96.4,54.8,796.59,
2004,hq,-3.24483,35.48683,46.7,75.8,141.4,198,55.6,9.3,1.5,1,20,29.7,91.7,218,888.7,
2005,hq,-3.24483,35.48683,70.9,125.5,214.4,154,65.5,20.4,10.3,10.9,5,45.4,143,52.2,917.5,
2005,seneto,,,11,16.9,18,16,12,11,11,4,4,0,8,0,111.9,
2005,lerai,,,16,18.2,40,12,14,16,22,10,12,0,12,4,176.2,
2005,ngoitokitok,,,18,20,22,9,6,11,7,0,6,0,6,0,105,
2005,munge,,,22,32,38,11,8,12,0,12,0,3,0,0,138,
2005,Mokilal,-3.23042,35.42462,113,57.5,169.2,114,55.5,30.5,11,5,43,35,22,48,703.7,
2005,Esirwa,,,32,26.5,32.7,74,12,0,16,0,4,20,28,0,245.2,
2005,Endulen ,-3.21393,35.27219,150,54.6,131.6,102,22,16,12,0,0,0,10,8,506.2,
2005,Esere,-3.29749,35.19164,38.5,44,65.2,50.9,32,26,0,0,0,0,0,0,256.6,
2005,Kakesio,-3.37334,34.99018,0,11,12,10,0,0,0,0,0,15,59.1,0,107.1,
2005,Ang'ata kiti,-2.94355,35.07604,78,86,96,36,8,4,0,0,0,0,0,0,308,
2005,Old Eastgate,,,19.7,32,38,46,101,118,41,22,12.8,58,52,26,566.5,
2005,Ndutu,-3.02249,34.98948,404,369,108.5,753,32,47,35,23,13,8,0,8,1800.5,
2005,Olduvai,-2.99709,35.3521,212,32,90,36,112,202,0,60,86,54,1765,171.2,2820.2,
2005,Nasera,-2.72178,35.36146,24,30,32,32,22,0,0,0,0,0,28,0,168,
2005,Olbalbal,-2.9865,35.50451,16.8,18.5,30,16,16,17,14,0,0,11,0,16,155.3,
2005,Nainokanoka,-3.02674,35.6854,142,79,107.4,14,12,0,9,6,0,0,0,6,375.4,
2005,Alailelai,-2.95632,35.70154,114,83,181,14.9,67,25,0,12,8.2,54.7,45.4,120,725.2,
2005,Naiyobi,-2.84704,35.84435,202.5,38.5,86,12,8,0,0,0,0,36,120,187,690,
2005,Endamaghai,-3.37465,35.33752,8.5,16,30,9.5,13,12,0,0,3,0,0,0,92,
2005,Mbulumbulu,-3.23283,35.84047,46,62,75.8,42.9,31.8,32.4,0,0,11,4,129,0,434.9,
2006,hq,-3.24483,35.48683,101,70.8,202.1,307.5,160,41,18.4,7.6,8.6,52.4,203.4,321.6,1494.4,
2006,seneto,,,5,0,18,16,9,0,0,0,0,38,11,36,133,
2006,lerai,,,12,28.6,30.5,23,16,0,0,0,9.4,14.6,38.2,72,244.3,
2006,ngoitokitok,,,18,0,30,10,7,0,0,0,0,22,28.6,46.5,162.1,
2006,munge,,,12,28,30.5,0,0,0,0,0,0,16,37,71,194.5,
2006,Mokilal,-3.23042,35.42462,165,124,98,81,84,89,15,0,0,24,92,137.4,909.4,same as 2007
2006,Esirwa,,,42,56,29,39,13,0,11,0,6.7,11.3,18.7,19.3,246,same as 2007
2006,Endulen ,-3.21393,35.27219,154.7,118.2,63.1,64,53,18.2,0,12,0,12.2,58.2,0,553.6,same as 2007
2006,Esere,-3.29749,35.19164,86,113.2,41,10,0,0,0,0,0,12,43.2,136,441.4,same as 2007
2006,Kakesio,-3.37334,34.99018,28,36,29,37,9,0,2.3,0,7.3,9,10.3,22.1,190,same as 2007
2006,Ang'ata kiti,-2.94355,35.07604,56,112,68,53,44,16,21,11,39.2,21.8,32.5,68.5,543,same as 2007
2006,Old Eastgate,,,131.1,87.1,153.2,85,46.8,19.8,17,12.2,9.1,0,27.8,103.3,692.4,same as 2007
2006,Ndutu,-3.02249,34.98948,26,28,48.5,28,58,19.1,17.6,51,0,0,0,0,276.2,same as 2007
2006,Olduvai,-2.99709,35.3521,13,110,38,0,0,0,0,0,0,0,0,52,213,same as 2007
2006,Nasera,-2.72178,35.36146,78,18,26,26,31,10.1,10.1,0,0,0,0,0,199.2,same as 2007
2006,Olbalbal,-2.9865,35.50451,16,18,21,35,34,0,9,0,15.5,11,17.8,42.8,220.1,same as 2007
2006,Nainokanoka,-3.02674,35.6854,116.8,121.6,78,205.4,46.8,0,12,25,15.1,10.7,50.3,189.7,871.4,same as 2007
2006,Alailelai,-2.95632,35.70154,179,112,110,146,86,2,26,13.8,2,15,32,145,868.8,same as 2007
2006,Naiyobi,-2.84704,35.84435,232.1,112.8,50,160.5,15.5,0,8.6,11.4,0,11.7,91.5,211,905.1,same as 2007
2006,Endamaghai,-3.37465,35.33752,18.6,26.6,9,30,34,4.3,0,9,32,35,13.1,49,260.6,same as 2007
2006,Mbulumbulu,-3.23283,35.84047,114.6,201.9,74.1,139.1,123.6,0,12.7,0,16.8,19.3,24.1,165,891.2,same as 2007
2007,hq,-3.24483,35.48683,193.1,236,219,196,213.8,51.2,22.6,7.5,5.4,16.3,189,133.4,1483.3,
2007,seneto,,,13,18,16,21,22,0,11.1,0,0,6.1,23,13,143.2,
2007,lerai,,,35,28,16,51,21,18,14.2,8,16,17.1,25.2,18.1,267.6,
2007,ngoitokitok,,,52,46.4,14.2,77,16,13,16.2,12.7,5,13.1,18.6,16.5,300.7,
2007,munge,,,64,56,18.2,61,225,26,20,7.8,10.6,20.5,26.1,36.1,571.3,
2007,Mokilal,-3.23042,35.42462,165,124,98,81,84,89,15,0,0,24,92,137.4,909.4,same as 2006
2007,Esirwa,,,42,56,29,39,13,0,11,0,6.7,11.3,18.7,19.3,246,same as 2006
2007,Endulen ,-3.21393,35.27219,154.7,118.2,63.1,64,53,18.2,0,12,0,12.2,58.2,0,553.6,same as 2006
2007,Esere,-3.29749,35.19164,86,113.2,41,10,0,0,0,0,0,12,43.2,136,441.4,same as 2006
2007,Kakesio,-3.37334,34.99018,28,36,29,37,9,0,2.3,0,7.3,9,10.3,22.1,190,same as 2006
2007,Ang'ata kiti,-2.94355,35.07604,56,112,68,53,44,16,21,11,39.2,21.8,32.5,68.5,543,same as 2006
2007,Old Eastgate,,,131.1,87.1,153.2,85,46.8,19.8,17,12.2,9.1,0,27.8,103.3,692.4,same as 2006
2007,Ndutu,-3.02249,34.98948,26,28,48.5,28,58,19.1,17.6,51,0,0,0,0,276.2,same as 2006
2007,Olduvai,-2.99709,35.3521,13,110,38,0,0,0,0,0,0,0,0,52,213,same as 2006
2007,Nasera,-2.72178,35.36146,78,18,26,26,31,10.1,10.1,0,0,0,0,0,199.2,same as 2006
2007,Olbalbal,-2.9865,35.50451,16,18,21,35,34,0,9,0,15.5,11,17.8,42.8,220.1,same as 2006
2007,Nainokanoka,-3.02674,35.6854,116.8,121.6,78,205.4,46.8,0,12,25,15.1,10.7,50.3,189.7,871.4,same as 2006
2007,Alailelai,-2.95632,35.70154,179,112,110,146,86,2,26,13.8,2,15,32,145,868.8,same as 2006
2007,Naiyobi,-2.84704,35.84435,232.1,112.8,50,160.5,15.5,0,8.6,11.4,0,11.7,91.5,211,905.1,same as 2006
2007,Endamaghai,-3.37465,35.33752,18.6,26.6,9,30,34,4.3,0,9,32,35,13.1,49,260.6,same as 2006
2007,Mbulumbulu,-3.23283,35.84047,114.6,201.9,74.1,139.1,123.6,0,12.7,0,16.8,19.3,24.1,165,891.2,same as 2006
2008,hq,-3.24483,35.48683,92.5,141,175.5,214.1,20.1,48.5,0,2.3,6.3,113,128,138,1079.3,same as 2013
2008,seneto,,,23,32.8,29.3,4,4.2,0,0,0,11,28.8,33.8,41.6,208.5,same as 2013
2008,lerai,,,43,52,53.2,43.1,18.2,12.5,0,9,18,37.2,91,22.1,399.3,same as 2013
2008,ngoitokitok,,,29.5,47,31,12,7,5.2,0,0,0,37,51.2,67.3,287.2,same as 2013
2008,munge,,,36,49,32.8,11,17,15.2,0,0,23,62,84.3,74,404.3,same as 2013
2008,Mokilal,-3.23042,35.42462,87,131,264,54,49.8,33.2,9,0,0.2,86,156,123,993.2,same as 2013
2008,Esirwa,,,22,38,77.9,17,13,11,9.2,31,11.6,68,118,112,528.7,same as 2013
2008,Endulen ,-3.21393,35.27219,30,47.2,207,113,23.1,19.6,0,0,5.6,8,50.3,29,532.8,same as 2013
