date,clan,name,higher,lower,description,reason,comments
1996-06-18,S,S-080,S-005,S-042,"assigned rank 2, between S-005 and S-042",mother unknown,
1996-12-26,A,A-093,A-019,A-014,"assigned rank 21, between A-019 and A-014",mother unknown,
1997-01-19,M,M-082,M-007,M-041,"M-082 drops to rank 2, between M-007 and M-041",female coup,
1997-04-09,M,L-044,L-045,N-045,"L-044 joins hierarchy in rank 41, between L-045 and N-045",male coup,
1997-09-08,T,T-014,T-013,T-009,"T-014 assigned rank 5, between T-013 and T-009",mother unknown,
1998-03-23,T,T-010,T-002,T-013,"T-010 assigned rank 4, between T-002 and T-013",mother unknown,
1998-04-06,M,N-045,N-042,A-056,"N-042 overtakes N-045 to go to rank 41, N-045 drops to rank 42",male coup,
1998-04-19,L,L-116,L-111,L-004,"L-116 adopted by L-088, joins hierarchy in rank 3, below L-111",adoption,enter rank when adopted cub joins another cub of the allo-mother or genetic cub is born after mother adopted another cub
1998-05-24,M,X-006,A-056,N-046,"X-006 drops to rank 40, between A-056 and N-046",male coup,
1998-05-25,M,M-008,A-056,X-006,"M-008 drops to rank 39, between A-056 and X-006",male coup,
1998-08-09,A,A-001,A-019,A-101,"A-001+A-101+A-089+A-084+A-018+A-046+A-010+A-080+A-054 drop to ranks 10-18, between A-019 and A-093",female coup,
1998-08-09,A,A-101,A-001,A-089,"A-001+A-101+A-089+A-084+A-018+A-046+A-010+A-080+A-054 drop to ranks 10-18, between A-019 and A-093",female coup,
1998-08-09,A,A-089,A-101,A-084,"A-001+A-101+A-089+A-084+A-018+A-046+A-010+A-080+A-054 drop to ranks 10-18, between A-019 and A-093",female coup,
1998-08-09,A,A-084,A-089,A-018,"A-001+A-101+A-089+A-084+A-018+A-046+A-010+A-080+A-054 drop to ranks 10-18, between A-019 and A-093",female coup,
1998-08-09,A,A-018,A-084,A-046,"A-001+A-101+A-089+A-084+A-018+A-046+A-010+A-080+A-054 drop to ranks 10-18, between A-019 and A-093",female coup,
1998-08-09,A,A-046,A-018,A-010,"A-001+A-101+A-089+A-084+A-018+A-046+A-010+A-080+A-054 drop to ranks 10-18, between A-019 and A-093",female coup,
1998-08-09,A,A-010,A-046,A-080,"A-001+A-101+A-089+A-084+A-018+A-046+A-010+A-080+A-054 drop to ranks 10-18, between A-019 and A-093",female coup,
1998-08-09,A,A-080,A-010,A-054,"A-001+A-101+A-089+A-084+A-018+A-046+A-010+A-080+A-054 drop to ranks 10-18, between A-019 and A-093",female coup,
1998-08-09,A,A-054,A-080,A-093,"A-001+A-101+A-089+A-084+A-018+A-046+A-010+A-080+A-054 drop to ranks 10-18, between A-019 and A-093",female coup,
1998-10-27,T,L-044,L-045,last,"L-044 drops to rank 15, below L-045",male coup,
1998-11-13,S,A-008,S-084,A-018,"A-008 assigned rank 6, between S-084 and A-018",female dispersal,
1999-04-06,M,R-080,N-046,A-087,"R-080+A-087 immigrate, dominant over A-087",immigrate on same date,
2000-02-04,F,F-044,S-042,L-083,"F-044 drops to rank 19, between S-042 and L-083",male coup,
2000-02-08,F,F-001,F-086,F-081,"F-001+F-081+F-007+F-088+F-089+F-045 drop to ranks 6-11, between F-086+F-004",female coup,
2000-02-08,F,F-081,F-001,F-007,"F-001+F-081+F-007+F-088+F-089+F-045 drop to ranks 6-11, between F-086+F-004",female coup,
2000-02-08,F,F-007,F-081,F-088,"F-001+F-081+F-007+F-088+F-089+F-045 drop to ranks 6-11, between F-086+F-004",female coup,
2000-02-08,F,F-088,F-007,F-089,"F-001+F-081+F-007+F-088+F-089+F-045 drop to ranks 6-11, between F-086+F-004",female coup,
2000-02-08,F,F-089,F-088,F-045,"F-001+F-081+F-007+F-088+F-089+F-045 drop to ranks 6-11, between F-086+F-004",female coup,
2000-02-08,F,F-045,F-089,F-004,"F-001+F-081+F-007+F-088+F-089+F-045 drop to ranks 6-11, between F-086+F-004",female coup,
2000-02-23,U,M-120,M-118,M-113,"M-120 joins hierarchy in rank 3, between M-118 and M-113",female dispersal,
