name,origin,destination,date,comments
A-008,A,S,1998-11-13,
A-011,X,A,1996-04-12,
A-018,A,S,1998-10-03,
A-019,A,S,1998-09-18,
A-040,A,A,1996-07-11,
A-040,A,R,2001-10-30,
A-041,A,L,1998-03-31,
A-042,X,A,1996-04-12,
A-044,X,A,1996-04-12,
A-045,X,A,1996-04-12,
A-046,A,L,1998-12-06,
A-047,X,A,1996-04-12,
A-048,X,A,1996-04-12,
A-049,A,L,1997-06-18,
A-050,X,A,1996-04-12,
A-051,X,A,1996-04-12,
A-052,A,E,1997-04-07,
A-054,A,L,1999-04-22,
A-055,X,A,1996-08-18,
A-056,A,M,1997-06-06,
A-057,A,E,1997-10-05,
A-084,A,L,1998-08-19,
A-085,A,S,2001-08-11,
A-087,A,M,1999-04-06,
A-087,M,Y,2005-08-11,
A-087,Y,E,2006-09-14,
A-092,A,X,1997-08-27,
A-092,X,A,2001-07-13,
A-093,A,M,2000-02-27,
A-100,A,F,2003-01-15,
A-103,A,F,2003-09-29,
A-111,A,F,2002-07-16,
A-118,A,F,2003-08-25,
A-121,A,F,2003-01-14,
A-122,A,N,2002-07-17,
A-123,A,F,2003-08-28,
A-124,A,F,2003-11-08,
A-125,A,F,2004-04-21,
A-128,A,L,2004-10-20,
A-137,A,A,2004-11-16,
A-137,A,L,2005-09-05,
A-138,A,F,2004-06-10,
A-142,A,F,2005-08-20,
A-146,A,L,2004-10-20,
A-148,A,L,2005-01-02,
A-150,A,L,2005-07-09,
A-151,A,L,2005-06-26,
A-163,A,L,2005-07-13,
A-166,A,F,2007-06-11,
A-182,A,L,2007-11-19,
A-185,A,F,2008-10-04,
A-198,A,F,2008-10-09,
A-199,A,F,2008-10-09,
A-209,A,F,2008-10-04,
A-210,A,F,2008-11-10,
A-222,A,E,2010-01-05,
A-225,A,F,2010-11-29,
A-234,A,F,2010-12-21,
A-237,A,L,2011-01-31,
A-246,A,A,2011-09-07,
A-257,A,A,2013-11-28,
A-261,A,A,2013-02-23,
A-263,A,A,2013-04-27,
A-264,A,L,2013-04-14,
A-276,A,A,2015-06-23,based on conception date of sired cub
A-289,A,L,2013-05-19,
A-295,A,S,2015-08-11,
A-299,A,A,2014-12-09,
A-306,A,S,2014-05-23,
A-306,A,M,2024-03-14,
A-307,A,F,2015-01-04,
A-327,A,S,2015-08-13,
A-328,A,F,2016-04-24,
A-333,A,F,2015-08-21,
A-337,A,A,2017-02-25,
A-338,A,A,2017-11-15,
A-343,A,S,2017-02-01,
A-343,S,Y,2019-07-09,
A-343,Y,A,2022-12-03,
A-345,A,S,2017-02-10,was seen in S-terr on 2016-03-10 together with L-156
A-346,A,S,2016-03-21,
A-346,S,M,2024-02-22,
A-356,A,F,2016-04-23,
A-369,A,S,2018-04-14,
A-371,A,L,2016-09-30,
A-372,A,F,2018-01-11,
A-373,A,S,2017-08-20,
A-374,A,S,2017-12-16,
A-377,A,F,2016-06-11,
A-380,A,F,2017-05-23,
A-383,A,L,2017-07-07,
A-384,A,F,2017-07-08,
A-385,A,S,2017-09-23,
A-386,A,S,2017-08-20,
A-390,A,S,2017-06-11,
A-390,S,M,2024-04-10,
A-391,A,A,2018-12-02,
A-398,A,S,2018-12-16,
A-399,A,S,2018-12-19,
A-403,A,S,2018-09-08,
A-408,A,A,2018-12-25,
A-411,A,E,2019-07-24,
A-412,A,L,2018-11-08,
A-418,A,E,2019-10-28,
A-430,A,L,2019-10-22,
A-458,A,L,2020-11-09,
A-484,A,A,2021-01-28,
A-484,A,F,2022-02-23,
A-504,A,E,2022-03-16,
A-519,A,L,2023-11-07,
A-530,A,A,2022-03-08,
A-537,A,A,2023-02-03,
A-537,A,S,2024-06-27,
A-556,A,L,2024-09-18,
C-040,X,C,1996-04-12,
C-041,X,C,1998-03-21,
E-040,X,E,1996-04-12,
E-041,X,E,1996-04-12,
E-042,E,N,1997-02-02,
E-044,E,N,1998-08-09,
E-046,E,N,2000-01-11,
E-086,E,T,2003-11-07,
E-089,E,E,2003-03-05,
E-089,E,L,2005-06-27,
E-090,E,M,2004-04-12,
E-094,E,M,2004-04-18,
E-094,M,E,2015-08-29,
E-108,E,E,2005-02-01,
E-127,E,M,2007-12-11,
E-131,E,M,2007-12-28,
E-133,E,E,2006-12-06,based on conception date of sired cub
E-133,E,M,2007-12-02,
E-134,E,M,2007-03-03,
E-135,E,M,2007-12-01,
E-142,E,M,2009-03-30,
E-144,E,E,2010-01-06,
E-149,E,M,2010-04-22,
E-151,E,M,2009-04-05,
E-159,E,M,2011-02-19,
E-161,E,M,2009-12-25,
E-164,E,E,2011-02-26,based on conception date of sired cub
E-164,E,L,2011-08-10,
E-165,E,M,2010-01-07,
E-165,M,S,2010-10-13,
E-168,E,M,2010-12-03,
E-169,E,N,2010-12-13,
E-173,E,N,2010-12-19,
E-179,E,N,2011-11-23,
E-199,E,L,2013-12-03,
E-218,E,E,2015-10-20,
E-226,E,M,2016-11-18,
E-227,E,T,2017-12-14,
E-233,E,E,2018-08-26,
E-240,E,T,2018-12-07,
E-259,E,E,2018-12-16,
E-277,E,A,2020-01-27,
E-288,E,M,2021-12-31,could have joined another clan before joining Munge
E-304,E,M,2024-05-09,
E-305,E,S,2023-11-03,
E-306,E,S,2023-09-27,
E-308,E,S,2023-11-24,
E-311,E,M,2024-09-05,
E-314,E,M,2024-07-09,
E-320,E,M,2024-03-23,
E-323,E,M,2024-06-17,
E-325,E,M,2024-03-24,
E-332,E,M,2024-04-06,
E-333,E,M,2024-04-06,
F-040,X,F,1996-04-12,
F-041,X,F,1996-04-12,
F-042,X,F,1996-04-12,
F-043,X,F,1996-04-12,
F-044,X,F,1997-04-10,
F-045,F,M,2001-07-19,
F-080,F,T,2000-11-15,
F-080,T,N,2004-11-08,
F-084,F,L,2001-07-26,
F-088,F,N,2003-08-24,
F-090,F,N,2002-12-13,
F-100,F,M,2004-04-08,
F-112,F,A,2006-09-25,
F-115,F,A,2007-06-28,
F-128,F,A,2009-07-15,
F-135,F,A,2010-10-20,
F-139,F,A,2010-11-23,
F-140,F,F,2011-10-11,
F-145,F,F,2012-03-13,
F-145,F,T,2015-08-23,
F-146,F,A,2012-09-17,
F-147,F,A,2013-01-21,
F-154,F,T,2015-08-23,
F-160,F,A,2013-12-03,
F-167,F,A,2014-06-04,
F-174,F,T,2016-02-19,
F-183,F,F,2016-12-09,
F-202,F,T,2016-09-27,
F-208,F,F,2018-02-16,
F-208,F,A,2023-01-11,
F-209,F,F,2018-02-16,
F-210,F,T,2017-11-25,
F-214,F,A,2018-03-14,
F-219,F,A,2019-06-22,
F-221,F,A,2019-12-07,
F-224,F,A,2020-01-28,
F-230,F,A,2020-02-13,
F-232,F,A,2019-02-08,
F-233,F,F,2018-11-23,based on conception date of sired cub
F-233,F,A,2021-10-15,
F-235,F,E,2020-04-14,
F-241,F,A,2022-03-08,
F-271,F,S,2024-05-06,
F-280,F,T,2023-02-14,
F-281,F,A,2023-11-07,
L-040,X,L,1996-04-12,
L-041,X,L,1996-04-12,
L-042,X,L,1996-04-12,
L-043,X,L,1996-04-12,
L-044,L,M,1997-04-09,
L-044,M,T,1998-10-05,
L-045,L,M,1997-02-22,
L-045,M,T,1998-10-27,
L-046,L,F,1998-11-09,
L-047,X,L,1996-04-12,
L-048,X,L,1996-04-12,
L-082,L,F,1999-12-31,
L-082,F,Y,2008-04-21,
L-082,Y,L,2010-04-18,
L-083,L,F,1998-11-09,
L-086,L,T,2000-09-22,
L-089,L,F,1999-04-05,
L-090,L,F,1999-12-15,
L-090,F,N,2002-11-21,
L-093,L,F,2000-09-12,
L-095,L,A,2001-07-15,
L-106,L,S,2000-11-27,
L-108,L,L,2000-10-31,
L-108,L,A,2001-07-31,
L-111,L,A,2002-12-12,
L-116,L,E,2001-11-25,
L-116,E,Y,2007-03-13,
L-116,Y,M,2007-11-18,
L-118,L,A,2001-07-13,
L-123,L,E,2001-11-25,
L-126,L,E,2001-11-26,
L-126,E,M,2004-04-19,
L-127,L,N,2002-07-18,
L-128,L,A,2001-07-21,
L-129,L,M,2002-04-02,
L-131,L,E,2001-11-25,
L-131,E,Y,2006-08-24,
L-131,Y,M,2006-10-02,
L-137,L,A,2004-05-11,
L-138,L,A,2004-10-20,
L-148,L,E,2004-06-10,
L-164,L,L,2006-02-05,
L-164,L,X,2008-05-03,
L-171,L,L,2005-06-22,
L-192,L,L,2007-04-16,
L-194,L,L,2005-07-23,
L-194,L,M,2006-01-20,
L-196,L,A,2006-09-20,
L-202,L,E,2007-02-21,
L-204,L,N,2007-02-23,
L-204,N,E,2007-11-10,
L-221,L,M,2007-05-11,
L-222,L,M,2007-04-27,
L-222,M,E,2008-02-21,
L-227,L,L,2007-12-16,
L-227,L,E,2009-08-28,
L-243,L,L,2007-04-23,
L-257,L,L,2008-11-27,
L-259,L,L,2008-02-04,
L-267,L,L,2012-10-02,
L-267,L,X,2013-08-26,
L-277,L,L,2010-02-02,
L-277,L,S,2013-05-10,
L-278,L,S,2010-03-05,
L-289,L,S,2011-07-24,
L-293,L,L,2010-01-17,
L-293,L,E,2010-11-19,
L-298,L,S,2011-08-03,
L-299,L,S,2010-10-13,
L-303,L,S,2011-08-20,
L-308,L,S,2011-08-12,
L-315,L,S,2013-11-20,
L-316,L,S,2011-08-03,
L-321,L,S,2013-03-30,
L-349,L,L,2013-02-16,
L-349,L,S,2013-11-20,
L-376,L,E,2014-05-30,
L-377,L,E,2014-12-04,
L-395,L,S,2017-10-22,
L-414,L,T,2017-01-13,
L-441,L,L,2017-12-19,
L-470,L,A,2023-02-04,
L-501,L,A,2022-03-04,
L-513,L,A,2022-03-08,
L-515,L,A,2023-02-01,
L-518,L,A,2023-02-01,
L-535,L,S,2024-11-18,
L-540,L,S,2024-10-23,
M-008,X,M,1996-04-12,
M-010,X,M,1996-04-12,
M-040,X,M,1996-04-12,
M-040,M,Y,2000-09-22,
M-041,M,A,1998-09-11,
M-041,A,L,2006-10-30,
M-042,M,E,1997-07-15,
M-042,E,N,2002-07-20,
M-045,X,M,1996-04-12,
M-046,X,M,1996-04-12,
M-047,M,L,1996-08-06,
M-050,X,M,1996-04-12,
M-051,M,A,1997-02-03,
M-051,A,Y,2010-05-22,
M-052,X,M,1996-04-12,
M-052,M,E,2001-09-17,
M-053,M,A,1996-04-12,
M-084,M,C,1999-12-09,
M-087,M,E,1998-11-04,
M-092,M,E,1998-11-08,
M-097,M,M,1998-09-07,
M-097,M,N,2002-04-23,
M-104,M,L,2001-07-15,
M-113,M,U,2000-02-21,
M-115,M,U,2000-01-11,
M-116,M,M,2000-09-15,
M-116,M,E,2002-11-22,
M-117,M,A,2002-07-14,
M-117,A,F,2003-09-29,
M-118,M,U,2000-02-12,
M-120,M,U,2000-02-23,
M-126,M,A,2001-07-21,
M-129,M,F,2001-07-21,
M-133,M,A,2001-07-21,
M-133,A,X,2004-06-18,
M-136,M,E,2002-05-22,
M-138,M,M,2002-06-22,
M-139,M,L,2003-11-09,
M-141,M,A,2001-07-13,
M-141,A,F,2004-12-30,
M-142,M,C,2004-05-29,
M-144,M,A,2003-03-26,
M-144,A,S,2004-10-13,
M-144,S,L,2010-03-14,
M-155,M,M,2004-02-29,based on conception date of sired cub
M-158,M,S,2004-10-13,
M-162,M,E,2004-06-10,
M-170,M,M,2004-05-29,
M-170,M,E,2004-10-14,
M-174,M,M,2004-04-15,
M-174,M,X,2007-12-11,
M-181,M,S,2005-07-13,
M-183,M,M,2006-02-06,
M-188,M,E,2004-10-14,
M-193,M,L,2005-07-09,
M-194,M,N,2007-03-12,
M-197,M,S,2005-07-13,
M-203,M,A,2007-11-17,
M-204,M,X,2007-03-04,
M-206,M,N,2007-03-12,
M-207,M,M,2005-09-22,
M-214,M,N,2007-02-23,
M-224,M,A,2007-11-17,
M-226,M,S,2008-03-01,
M-228,M,N,2008-04-19,
M-230,M,N,2008-04-19,
M-231,M,A,2008-10-21,
M-240,M,S,2008-11-14,
M-241,M,E,2007-12-13,
M-241,E,Y,2014-12-16,
M-241,Y,M,2016-11-19,
M-244,M,S,2008-02-29,
M-244,S,L,2010-01-05,
M-254,M,S,2008-10-25,
M-261,M,S,2009-07-02,
M-261,S,N,2011-11-26,
M-262,M,S,2009-07-28,
M-262,S,N,2011-07-20,
M-264,M,A,2008-11-12,
M-267,M,N,2010-04-30,
M-269,M,S,2009-07-31,
M-271,M,S,2009-07-18,
M-277,M,N,2011-07-20,
M-278,M,N,2011-11-26,
M-282,M,S,2010-10-23,
M-286,M,S,2010-10-13,
M-288,M,A,2010-11-01,
M-289,M,A,2010-11-01,
