date,time,latitude,longitude,context,habitat,age,sex,activity,remarks,name,name2,clanID,attendancestop,prey,obsstart,obsstop,sucklingID,denhole,injuryID,earR,earL,altitude,waypoint,observer
1993-02-10,08:48,,,,GRS,ad,2,,,M-016,,M,,,,,,,,,,,,BBC
1993-02-10,08:48,,,,GRS,cub,,,,,M-016-cub1,M,,,,,,,,,,,,BBC
1993-02-10,08:48,,,,GRS,cub,,,,,M-016-cub2,M,,,,,,,,,,,,BBC
1993-02-10,09:00,,,,GRS,ad,2,,,M-005,,M,,,,,,,,,,,,BBC
1993-02-10,09:33,,,,GRS,ad,2,,,M-006,,M,,,,,,,,,,,,BBC
1993-02-10,09:58,,,,GRS,ad,1,,,L-042,,L,,,,,,,,,,,,BBC
1993-02-10,10:29,,,,GRS,ad,2,,,M-003,,M,,,,,,,,,,,,BBC
1995-01-05,10:40,,,,GRS,ad,2,,one-day visit,L-009,,L,,,,,,,,,,,,BW+OH
1995-01-05,10:40,,,,GRS,ad,1,,one-day visit,L-042,,L,,,,,,,,,,,,BW+OH
1995-01-05,11:00,,,,GRS,ad,2,,one-day visit,L-015,,L,,,,,,,,,,,,BW+OH
1995-01-05,11:00,,,,GRS,ad,1,,one-day visit,L-041,,L,,,,,,,,,,,,BW+OH
1995-01-05,11:00,,,,GRS,ad,1,,one-day visit,L-043,,L,,,,,,,,,,,,BW+OH
1996-03-28,07:11,,,,GRS,ad,1,,one-day visit,M-044,,M,,,,,,,,,,,,BW+OH
1996-03-28,07:20,-3.15567,35.62200,,GRS,ad,2,,one-day visit,,,M,,,,,,,,,,,,BW+OH
1996-03-28,07:30,-3.15917,35.62750,,GRS,ad,2,,one-day visit,M-017,,M,,,,,,,,,,,,BW+OH
1996-03-28,08:41,-3.17950,35.61050,,HER,ad,2,,one-day visit,M-015,,M,,,,,,,,,,,,BW+OH
1996-03-28,08:46,-3.18300,35.60950,,HER,ad,1,,one-day visit,M-044,,M,,,,,,,,,"3,big",,,BW+OH
1996-03-28,08:53,-3.19167,35.60183,,HER,ad,2,,one-day visit,L-011,,L,,,,,,,,,,,,BW+OH
1996-03-28,08:55,-3.19267,35.60067,,HER,ad,2,,one-day visit,L-009,,L,,,,,,,,,,,,BW+OH
1996-03-28,09:02,-3.19567,35.59650,,HER,ad,2,,one-day visit,L-009,,L,,,,,,,,,,,,BW+OH
1996-03-28,09:10,-3.20100,35.59617,,HER,ad,2,,one-day visit,L-002,,L,,,,,,,,,,,,BW+OH
1996-03-28,09:40,-3.20150,35.59150,,HER,ad,2,,"one-day visit, belly full to bloated",,,X,,,,,,,,,,,,BW+OH
