species_acronym,species_name
aw,aardwolf
bj,black-backed jackal
bt,cattle
bu,buffalo
ca,caracal
cc,crowned crane
ch,cheetah
cl,camel
dd,domestic dog
do,donkey
ed,eland
el,elephant
eq,zebra
es,European white stork
fx,bat-eared fox
ge,genet
gg,grant's gazelle
gj,golden jackal
gs,grass stalk
gt,goat
hb,honey badger
hh,striped hyena
hi,hippo
hy,spotted hyena
kb,kori bustard
ko,kongoni
le,leopard
li,lion
mb,banded mongoose
me,egyptian mongoose
mm,marsh mongoose
mo,mongoose
ms,slender mongoose
mw,white-tailed mongoose
os,ostrich
rh,rhino
se,serval
sh,sheep
sj,side-striped jackal
sp,striped polecat
tg,Thomson's gazelle
tk,tick
va,vaccine
wa,water
wc,wild cat
wd,wild dog
wh,warthog
wi,wildebeest
