sucklingID,date,time,latitude,longitude,denname,remarks,mother,cub1,cub2,cub3,allosuckling1,allosuckling2,observer
su00001,1996-04-14,15:50,,,den Mosi,zwei helle Flecken auf li Seite oberhalb Schnauzhaare,M-005,M-093,,,,,
su00002,1996-04-25,15:14,,,den Mosi,,M-003,M-082,M-083,,,,
su00003,1996-04-25,15:14,,,den Mosi,2 cubs SU from her very dark at the back,M-005,M-093,cub,,,,
su00004,1996-04-27,17:00,,,den Mosi,,M-003,M-082,M-083,,,,
su00005,1996-05-18,16:36,-3.17833,35.6005,,,M-012,M-092,,,,,
su00006,1996-06-06,6:52,-3.17533,35.59767,,,M-009,M-091,,,,,
su00007,1996-06-15,7:25,-3.19783,35.58883,,,L-001,L-080,L-081,,,,
su00008,1996-06-15,17:30,,,den Cili,,L-001,L-080,,,,,
su00009,1996-06-19,7:05,-3.17683,35.60383,,,M-012,M-092,,,,,
su00010,1996-06-21,6:43,,,den Luna,SU L-080 or L-081,L-001,cub,,,,,
su00011,1996-06-21,6:43,,,den Luna,"after 10min SU, L-086 + L-087 go to L-007 who licks them",L-008,L-086,L-087,,,,
su00012,1996-06-24,6:51,,,den Luna,,L-002,L-082,,,,,
su00013,1996-06-24,6:51,,,den Luna,,L-007,L-088,,,,,
su00014,1996-06-24,6:51,,,den Luna,,L-008,L-086,L-087,,,,
su00015,1996-06-26,18:28,-3.17750,35.60333,,,M-012,M-092,,,,,
su00016,1996-06-27,6:59,,,den Luna,"SU L-080, then L-081",L-001,L-080,L-081,,,,
su00017,1996-06-27,17:11,,,den Luna,,L-007,L-088,,,,,
su00018,1996-07-07,17:04,-3.194,35.58783,,,L-001,L-080,L-081,,,,
su00019,1996-07-07,17:52,-3.194,35.58783,,,L-001,L-080,L-081,,,,
su00020,1996-07-10,8:01,-3.194,35.58783,,,L-012,L-084,,,,,
su00021,1996-07-12,7:09,-3.19400,35.58783,den Lotus,,L-012,L-084,L-085,,,,
su00022,1996-07-13,7:35,-3.17250,35.54700,,,L-005,L-083,,,,,
su00023,1996-07-13,7:43,-3.17200,35.54783,,,L-002,L-082,,,,,
su00024,1996-07-14,17:20,-3.18067,35.59950,,,M-014,M-089,M-090,,,,
su00025,1996-07-16,7:28,-3.17200,35.54733,,,L-003,L-089,,,,,
su00026,1996-07-18,7:10,-3.17183,35.54767,,,L-002,L-082,,,,,
su00027,1996-07-18,7:10,-3.17183,35.54767,,,L-007,L-088,,,,,
su00028,1996-07-19,8:03,-3.17717,35.55167,,,L-003,L-089,,,,,
su00029,1996-07-19,8:08,-3.17550,35.55150,,,L-002,L-082,,,,,
su00030,1996-07-29,17:34,-3.17467,35.55083,,,L-008,L-086,L-087,,,,
su00031,1996-07-29,17:34,-3.17467,35.55083,,,L-007,L-088,,,,,
su00032,1996-08-01,17:01,-3.17617,35.599,,,M-013,M-080,,,,,
su00033,1996-08-15,17:13,-3.17617,35.599,,,M-001,M-084,M-085,,,,
su00034,1996-08-30,17:18,-3.17067,35.54067,,,L-003,L-089,,,,,
su00035,1996-09-01,8:58,-3.16717,35.626,,,M-009,M-091,,,,,
su00036,1996-09-03,8:36,-3.17433,35.54833,,,L-002,L-082,,,,,
su00037,1996-09-03,8:36,-3.17433,35.54833,,,L-005,L-083,,,,,
su00038,1996-09-03,18:40,-3.16633,35.62667,,,M-001,M-084,,,,,
su00039,1996-09-05,8:38,-3.17833,35.56233,,,L-004,L-090,,,,,
su00040,1996-09-15,8:59,-3.17883,35.56267,,,L-012,L-084,L-085,,,,
su00041,1996-09-18,9:58,-3.19883,35.55950,,,L-002,L-082,,,,,
su00042,1996-09-18,9:58,-3.19883,35.55950,,,L-003,L-089,,,,,
su00043,1996-09-18,9:58,-3.19700,35.55867,,,L-005,L-083,,,,,
su00044,1996-09-19,18:39,-3.17267,35.6005,,,M-003,M-082,M-083,,,,
su00045,1996-10-03,9:12,-3.17733,35.54567,,,L-003,L-089,,,,,
su00046,1996-12-29,7:39,-3.18633,35.56533,,Lemala adf suckling 1 cub,,cub,,,,,
su00047,1996-12-29,7:43,-3.18333,35.56267,,SU L-083 from 0832 on,L-005,L-083,,,,,
su00048,1996-12-29,7:43,-3.18333,35.56267,,,L-012,L-084,L-085,,,,
su00049,1997-01-06,17:19,-3.19733,35.57150,,,L-005,L-083,,,,,
su00050,1997-01-06,17:53,-3.18783,35.565,,,L-009,L-093,,,,,
su00051,1997-01-07,6:29,-3.17533,35.60200,,,M-009,M-091,,,,,
su00052,1997-01-08,7:35,-3.20633,35.56217,,,L-002,L-082,,,,,
su00053,1997-01-08,8:02,-3.20367,35.57683,,,L-001,L-080,L-081,,,,
su00054,1997-01-10,8:52,-3.19000,35.56500,,,L-009,L-093,,,,,
su00055,1997-01-15,7:03,-3.1895,35.564,,,L-004,L-090,,,,,
su00056,1997-01-15,7:48,-3.18783,35.565,,,L-008,L-086,L-087,,,,
su00057,1997-01-18,17:49,,,den Lucky,,L-012,L-084,L-085,,,,
su00058,1997-01-19,17:47,-3.17617,35.59900,,,M-009,M-091,,,,,
su00059,1997-01-25,8:04,-3.20567,35.57850,,,L-004,L-090,,,,,
su00060,1997-01-25,17:04,-3.20817,35.5775,,,L-008,L-086,L-087,,,,
su00061,1997-01-26,6:51,-3.20567,35.5785,,,L-001,L-080,L-081,,,,
su00062,1997-01-26,17:23,-3.20800,35.57750,,,L-008,L-086,,,,,
su00063,1997-01-27,18:04,-3.20867,35.57667,,,L-009,L-093,,,,,
su00064,1997-01-27,18:05,-3.20867,35.57667,,,L-001,L-080,L-081,,,,
su00065,1997-02-13,9:29,-3.16900,35.64133,,,M-002,M-081,,,,,
su00066,1997-02-15,8:31,-3.181,35.56333,,,L-012,L-084,L-085,,,,
su00067,1997-02-24,16:46,-3.18417,35.56283,,,L-008,L-086,L-087,,,,
su00068,1997-02-25,7:46,-3.181,35.58183,,,L-012,L-084,L-085,,,,
su00069,1997-02-26,8:57,-3.17317,35.553,,,L-008,L-086,L-087,,,,
su00070,1997-02-28,7:54,-3.18300,35.56317,,,L-012,L-084,,,,,
su00071,1997-02-28,9:44,-3.183,35.56317,,,L-012,L-084,L-085,,,,
su00072,1997-03-03,9:09,-3.18283,35.56317,,,L-008,L-086,,,,,
su00073,1997-03-08,7:02,-3.181,35.58183,,,L-001,L-080,L-081,,,,
su00074,1997-03-08,7:21,-3.17983,35.58250,,,L-008,L-086,L-087,,,,
su00075,1997-03-09,7:30,-3.18150,35.58193,,red head + FLs,L-008,L-086,L-087,,,,
su00076,1997-03-09,18:45,-3.181,35.58183,,,L-001,L-080,L-081,,,,
su00077,1997-03-16,10:05,-3.1745,35.5645,,,L-008,L-086,L-087,,,,
su00078,1997-03-20,9:13,-3.17767,35.54633,,,L-012,L-084,L-085,,,,
su00079,1997-03-21,18:13,-3.181,35.58183,,,L-014,L-095,,,L-095,,
su00080,1997-03-23,22:57,-3.181,35.58183,,,L-014,L-095,,,L-095,,
su00081,1997-03-24,18:28,-3.181,35.58183,,,L-014,L-095,,,L-095,,
su00082,1997-03-25,19:19,-3.181,35.58183,,,L-014,L-095,,,L-095,,
su00083,1997-03-26,7:43,-3.181,35.58183,,,L-014,L-095,,,L-095,,
su00084,1997-03-28,8:00,-3.181,35.58183,,,L-014,L-095,,,L-095,,
su00085,1997-03-29,9:06,-3.16567,35.57433,,,L-012,L-084,L-085,,,,
su00086,1997-03-30,17:44,-3.16783,35.57617,,,L-012,L-084,L-085,,,,
su00087,1997-04-08,10:18,-3.16083,35.59017,,,L-008,L-086,L-087,,,,
su00088,1997-04-09,7:30,-3.18117,35.594,,,L-012,L-084,L-085,,,,
su00089,1997-04-10,17:09,-3.164,35.61233,,,M-007,M-100,,,,,
su00090,1997-04-11,9:00,-3.20283,35.56367,,,L-012,L-084,L-085,,,,
su00091,1997-04-11,9:55,-3.20267,35.58433,,,L-001,L-081,,,,,
su00092,1997-04-13,18:21,-3.18100,35.58183,den Lupo,,L-013,L-086,,,L-086,,
su00093,1997-04-14,8:33,-3.164,35.61233,,,M-006,M-098,M-099,,,,
su00094,1997-04-15,18:24,-3.19533,35.59767,,,L-008,L-086,L-087,,,,
su00095,1997-04-16,16:58,-3.19,35.59367,,,L-009,L-093,,,,,
su00096,1997-04-17,17:52,-3.18567,35.585,,,L-014,L-095,,,L-095,,
su00097,1997-04-18,16:53,-3.18567,35.585,,,L-014,L-095,,,L-095,,
su00098,1997-04-18,16:57,-3.18567,35.585,,for 20sec only,L-014,L-086,,,L-086,,
su00099,1997-04-18,18:01,-3.18567,35.585,,,L-013,L-095,,,,,
su00100,1997-04-18,17:39,-3.18567,35.58500,den Lili,,L-013,L-086,,,L-086,,
su00101,1997-04-19,9:48,-3.18567,35.585,,,L-013,L-095,,,,,
su00102,1997-04-19,23:29,-3.18567,35.585,,,L-013,L-095,,,,,
su00103,1997-04-20,18:26,-3.18567,35.585,,,L-013,L-095,,,,,
su00104,1997-04-21,19:33,-3.18567,35.58500,,,L-013,L-095,,,,,
su00105,1997-04-22,0:05,-3.18567,35.585,,,L-014,L-095,,,L-095,,
su00106,1997-04-22,1:03,-3.18567,35.585,,,L-014,L-095,,,L-095,,
su00107,1997-04-22,8:09,-3.18567,35.585,,,L-013,L-095,,,,,
su00108,1997-05-28,18:09,-3.14017,35.50417,,,A-015,A-090,A-091,,,,
su00109,1997-06-01,9:13,-3.14017,35.50417,,,A-015,A-090,A-091,,,,
su00110,1997-06-02,7:39,-3.164,35.61233,,,M-005,M-101,M-102,,,,
su00111,1997-06-13,7:24,-3.164,35.61233,,,M-005,M-101,M-102,,,,
su00112,1997-06-14,6:47,-3.192,35.58667,,,L-015,L-099,L-100,,,,
su00113,1997-06-16,8:26,-3.192,35.58667,,,L-015,L-099,L-100,,,,
su00114,1997-06-19,22:23,-3.14017,35.50417,,,A-015,A-091,,,,,
su00115,1997-06-21,5:27,-3.14017,35.50417,,,A-015,A-091,,,,,
su00116,1997-06-23,19:03,-3.14017,35.50417,,,A-001,A-088,A-089,,,,
su00117,1997-06-23,19:38,-3.14017,35.50417,,,A-015,A-091,,,,,
su00118,1997-06-27,8:18,-3.1795,35.5915,,,L-004,L-101,L-102,,,,
su00119,1997-06-29,17:14,-3.16383,35.6165,,,M-007,M-100,,,,,
su00120,1997-06-29,17:26,-3.16383,35.6165,,,M-014,M-105,M-106,,,,
su00121,1997-06-29,18:34,-3.16383,35.6165,,,M-006,M-098,M-099,,,,
su00122,1997-07-01,8:33,,,den Labda,,L-008,L-086,L-087,,,,
