date,transect,area_covered_in_sqkm,start,stop,WIL_ad,WIL_ju,ZEB_ad,ZEB_ju,GGR_ad,GGR_ju,GTH_ad,GTH_ju,BUF_ad,BUF_ju,KON_ad,KON_ju,WAR_ad,WAR_ju,OST_ad,OST_ju,ELA_ad,ELA_ju,RHI_ad,RHI_ju,HYC_ad,HYC_ju,LIO_ad,LIO_ju,JBB_ad,JBB_ju,JGO_ad,JGO_ju,JSS_ad,SJSS_ju,BEF_ad,BEF_ju,CHE_ad,CHE_ju,KOB_ad,KOB_ju,CRC_ad,CRC_ju,STW_ad,STW_juv,SER_ad,SER_juv,ELE_ad,ELE_juv,HOB_ad,HOB_juv,observer,main_prey,comments
1997-06-30,A1,1.2,,,1,0,0,0,47,1,3,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,52,
1997-06-30,A2,1.2,,,14,0,104,14,2,0,104,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,245,
1997-06-30,A3,1.2,,,0,0,0,0,104,4,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,109,
1997-06-30,M1,1.2,,,289,51,21,4,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,384,
1997-06-30,M2,1.2,,,64,5,5,2,5,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,97,
1997-06-30,M3,1.2,,,137,6,0,0,8,1,84,5,0,0,0,0,5,4,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,241,
1997-07-01,L1,1.2,,,13,0,431,62,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,523,
1997-07-01,L2,1.2,,,1,0,0,0,61,3,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,65,
1997-07-01,L3,1.2,,,0,0,0,0,11,0,43,1,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,,,,,,,,,,,,OH+BW,55,
1997-07-14,L1,1.2,,,38,3,104,3,12,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,160,
1997-07-14,L2,1.2,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,4,
1997-07-14,L3,1.2,,,16,0,0,0,16,1,56,6,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,,,,,,,,,,,,OH+BW,95,
1997-07-14,M1,1.2,,,6,0,5,0,14,1,64,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,92,
1997-07-14,M2,1.2,,,3,0,8,0,32,0,21,1,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,65,
1997-07-14,M3,1.2,,,15,0,0,0,3,0,132,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,4,0,0,0,,,,,,,,,,,,,OH+BW,154,
1997-07-15,A1,1.2,,,11,1,6,1,25,2,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,53,
1997-07-15,A2,1.2,,,543,77,59,6,1,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,,,,,,,,,,,,,OH+BW,735,
1997-07-15,A3,1.2,,,5,0,0,0,51,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,,,,OH+BW,61,
1997-07-26,L1,1.2,,,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,5,
1997-07-26,L2,1.2,,,0,0,0,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,17,
1997-07-26,L3,1.2,,,21,0,0,0,3,0,62,5,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,7,1,0,0,,,,,,,,,,,,,OH+BW,91,
1997-07-26,M1,1.2,,,0,0,0,0,19,2,75,6,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,102,
1997-07-26,M2,1.2,,,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,35,
1997-07-26,M3,1.2,,,2,0,0,0,4,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,2,0,0,0,4,0,0,0,,,,,,,,,,,,,OH+BW,62,
1997-07-27,A1,1.2,,,1,0,0,0,13,0,48,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,62,
1997-07-27,A2,1.2,,,147,0,2,0,1,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,164,
1997-07-27,A3,1.2,,,25,0,13,0,22,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,61,
1997-08-11,L1,1.2,,,307,0,189,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,532,
1997-08-11,L2,1.2,,,59,6,205,30,20,0,5,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,,,,OH+BW,325,
1997-08-11,L3,1.2,,,151,0,2,0,16,0,28,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,1,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,,,,OH+BW,197,
1997-08-11,M1,1.2,,,0,0,0,0,1,0,89,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,,,,OH+BW,93,
1997-08-11,M2,1.2,,,0,0,0,0,0,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,34,
1997-08-11,M3,1.2,,,2,0,7,0,0,0,22,1,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,,,,,,,,,,,,,OH+BW,32,
1997-08-12,A1,1.2,,,0,0,16,4,9,0,20,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,49,
1997-08-12,A2,1.2,,,0,0,3,0,6,0,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,40,
1997-08-12,A3,1.2,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,5,
1997-08-25,L1,1.2,,,22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,24,
1997-08-25,L2,1.2,,,63,0,1063,92,14,1,6,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3,0,1,0,,,,,,,,,,,,,OH+BW,1239,
1997-08-25,L3,1.2,,,28,0,0,0,10,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,138,
1997-08-25,M1,1.2,,,0,0,0,0,3,0,108,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,116,
1997-08-25,M2,1.2,,,0,0,0,0,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,41,
1997-08-25,M3,1.2,,,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,4,0,0,0,,,,,,,,,,,,,OH+BW,5,
1997-08-26,A1,1.2,,,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,13,
1997-08-26,A2,1.2,,,359,37,41,2,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,500,
1997-08-26,A3,1.2,,,0,0,4,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,4,
1997-09-09,M1,1.2,,,0,0,0,0,1,0,57,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,62,
1997-09-09,M2,1.2,,,0,0,0,0,0,0,55,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,60,
1997-09-09,M3,1.2,,,17,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,5,0,0,0,,,,,,,,,,,,,OH+BW,27,
1997-09-10,A1,1.2,,,995,281,420,38,0,0,30,0,0,0,4,1,0,0,2,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,1764,
1997-09-10,A2,1.2,,,218,10,78,13,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,OH+BW,347,
1997-09-10,A3,1.2,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,OH+BW,5,
1997-09-10,L1,1.2,,,13,0,22,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,,,,,,,,,,,,,OH+BW,46,
1997-09-10,L2,1.2,,,0,0,52,2,10,0,80,3,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,,,,,,,,,,,,,OH+BW,147,
1997-09-10,L3,1.2,,,134,15,45,6,0,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,2,0,0,0,,,,,,,,,,,,,OH+BW,247,
1997-09-28,L1,1.2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,,,,,,,,,,,,OH+BW,0,
