date,time,latitude,longitude,location,species,sequence,name,name2,focal_voc,other_sound,sequence_total,sequence_missed_start,sequence_missed_end,sequence_recorded,audioID,original_file,count_original_file,quality,context_behaviour,context_ecology,reply,comments,observer
1996-04-28,7:46,,,p,HYC,1,M-040,,WP,,"1a, 3s, 3a",,,,,NA,,,,,n,,
1996-06-06,6:43,-3.17533,35.59767,Mogli,HYC,1,M-008,,WP,,"1a, 5s, 3a",,,,,NA,,,during WP 4 cubs come out to GT M-008,,n,,
1996-06-15,7:26,-3.19783,35.58883,Cili,HYC,1,L-040,,WP,,"1a, 7s, 1a, 1t",,,,,NA,,,"1 min after being CH by L-001, after WP WA away from den",,n,,
1996-06-21,18:29,-3.17617,35.59900,Old,HYC,1,M-003,,WP,,"1a, 2s, 1a, 1s, 1a, 1t",,,,,NA,,,"7 min after SSF with M-005 + M-007, while L",,y,reply from dir Rumbe was 7s,
1996-07-06,18:24,-3.17617,35.59900,Old,HYC,1,M-008,,WP,,"1a, 4s, 5a",,,,,NA,,,"after being CH by M-080, 1 min before AP den",,n,,
1996-07-11,18:35,,,p,HYC,1,,,WP,,"7a, 1t",,,,,NA,,,,,y,,
1996-07-11,18:35,-3.17617,35.59900,Old,HYC,2,M-010,,WP,,15a,,,,,NA,,,"reply to WP from above, M-010 joins after 6a, while L",,n,,
1996-07-23,18:10,-3.20383,35.58917,p,HYC,1,,,WP,,"1a, 1s, 1a, 1s, 1a, 1s, 1a, 1t",,,,,NA,,,"4 Lemalas 50m from 2 LI adf at EQ kill, recruitment (?)",kill,n,,
1996-07-26,17:48,-3.17617,35.59900,Old,HYC,1,M-041,,WP,,"2a, 2s, 3a",,,,,NA,,,while WA away from den,,n,by the time of the whoop we were at the Lotus den with L88 and L82; both GU and WA in this dir,
1996-08-16,9:37,-3.22767,35.55350,p,HYC,1,S-005,,WP,,"1a, 2s, 2a",,,,,NA,,,"after 11 or more Lemalas met 6 Shambas and left again, recruitment (?)",,n,"the Lemalas took away a piece of skin with meat, which might have belonged to the Shambas before.",
1996-08-16,14:05,-3.19800,35.55917,p,HYC,1,,,WP,,"1a, 6s, 1a",,,,,NA,,,"from 300m S of L-004, L-008, L-010, L-045, L-047, they LH",,n,,
1996-08-19,17:58,near Ngoit junction,,p,HYC,1,L-082,,WP,,"1a, 6s",,,,,NA,,,"L-082 first WA away after seeing L-004, L-002, L-088, then WP, AP and GT",,unclear,"just after this, L-083 WP, reply ?",
1996-08-19,17:58,near Ngoit junction,,p,HYC,1,L-083,,WP,,"1a, 5s, 1a",,,,,NA,,,"L-083 first WA away after seeing L-004, L-002, L-088, then WP, AP and GT",,n,,
1996-08-19,18:01,300m from Loc above,,p,HYC,1,,,WP,,3a,,,,,NA,,,?,,n,"no reaction of L-004, L-002, L-088, L-082 or L-083",
1996-08-20,7:19,-3.17617,35.59900,Old,HYC,1,M-040,,WP,,"1a, 3s, 6a",,,,,NA,,,"LO to Old den, last 200m with nose close to floor, when arriving, no HY around",,n,"after WP one cub after the other comes out of DH (M-081, M-080, M-093, M-085, M-084, M-091, M-089, M-083, M-090) except M-082",
