name,date,time,weight,bellyscore,feeding
L-094,1997-06-17,17:50,12.3,N,
L-094,1997-06-28,18:30,13.5,N,
L-094,1997-07-03,18:28,14.5,F,S
L-094,1997-07-12,18:05,14.2,N,
L-094,1997-07-16,17:14,13.8,N,
L-094,1997-07-17,9:34,14,N,
L-094,1997-07-17,17:50,14,N,
L-094,1997-07-26,17:16,15.5,N,
L-094,1997-08-10,17:26,17.5,N,
L-094,1997-08-14,8:34,18.9,F,
L-094,1997-08-14,17:50,18.4,N to F,
L-094,1997-08-16,17:42,18.7,F,
L-094,1997-08-26,16:48,18.8,N,
L-094,1997-08-27,17:12,18.8,N,
L-094,1997-08-28,16:50,18.9,N,
L-094,1997-08-29,16:54,19.4,F,
L-094,1997-08-30,17:44,19.3,N,
L-094,1997-09-04,8:49,19.8,F,
L-094,1997-09-06,6:55,20.7,F,
L-094,1997-09-08,9:33,19.9,N,
L-094,1997-09-10,7:49,20.3,N,
L-094,1997-09-11,6:49,20.6,N,
L-094,1997-09-13,18:15,20.2,N,
L-094,1997-09-15,9:56,20.6,N,
L-094,1997-09-15,17:28,20.5,N,
L-094,1997-09-16,17:22,20.6,N,
L-094,1997-09-17,18:58,20.5,N,
L-094,1997-09-18,19:34,20.4,N,
L-094,1997-09-19,19:05,20.6,N,
L-094,1997-09-27,16:50,21.1,N,
L-094,1997-10-02,17:17,20.9,N,
L-094,1997-10-03,17:42,21.2,N,
L-094,1997-10-04,18:15,20.9,N,
L-094,1997-10-07,18:19,20.7,N,
L-094,1997-10-10,18:28,20.9,N,
L-094,1997-10-11,17:38,20.5,N,
L-094,1997-10-12,18:31,20.5,N,
L-094,1997-10-13,17:43,20.5,N,
L-094,1997-10-20,18:24,20.5,N,
L-094,1997-10-21,8:09,20.8,N,
L-094,1997-10-23,7:40,20.9,N,
L-094,1998-01-12,17:20,26.5,N,
L-094,1998-01-17,16:55,27.6,N to F,
L-094,1998-01-26,17:06,27.8,N,
L-094,1998-02-03,6:35,27.9,N,
L-094,1998-02-28,7:35,30.4,N,
L-094,1998-03-05,18:56,30.9,N,
L-094,1998-03-07,17:31,30.6,N,
L-094,1998-03-13,21:17,30.3,N,
L-094,1998-04-01,10:04,35.2,N,
L-094,1998-04-12,18:07,35.2,N,
L-094,1998-04-15,18:17,35.1,N,
L-094,1998-04-18,19:01,36.1,N,
L-094,1998-04-19,18:47,37.5,N,
L-094,1998-04-29,7:02,36.4,N,
L-096,1997-09-16,20:10,12,N,
L-096,1997-10-03,18:26,12.5,N,
L-096,1997-10-06,17:55,12.1,N,
L-096,1997-10-07,17:50,12.2,N,
L-096,1997-10-09,6:49,12.2,N,
L-096,1997-10-10,18:39,12.3,N,
L-096,1997-10-12,18:29,12.2,N,
L-096,1997-10-13,17:37,12.1,N,
L-096,1997-10-21,7:54,12,N,
L-096,1997-10-21,17:28,12,N,
L-096,1998-01-17,17:54,18.1,F,
L-096,1998-01-26,18:04,18.3,N,
L-096,1998-01-29,17:48,19.2,N,
L-096,1998-01-30,8:11,19.4,N,
L-096,1998-01-30,17:55,19.3,N,
L-096,1998-02-06,7:57,19.2,N,
